sku_id,product_name,category,brand,MRP,base_cost,launch_date,mrp_missing,base_cost_missing,mrp_outlier,base_cost_outlier,margin,negative_margin,product_age_months,is_new,is_stale,price_cost_ratio,high_margin,low_margin
P0014,Gas Plus,Sports,BrandA,430.26,220.65,2023-07-13,0,0,0,0,209.60999999999999,False,24,False,True,1.949966009517335,False,False
P0015,day x  ,Electronics,BrandC,775.98,607.97,2021-12-19,1,0,0,0,168.01,False,43,False,True,1.2763458723292267,False,False
P0016,Citizen X,Books,BrandB,1088.89,844.39,2023-03-22,0,0,0,0,244.5000000000001,False,28,False,True,1.289558142564455,False,False
P0017,To Pro,Sports,BrandD,859.9,574.02,2024-02-14,0,0,0,0,285.88,False,17,False,False,1.4980314274763946,False,False
P0018,From X,Beauty,BrandE,1230.36,967.33,2023-12-31,0,0,0,0,263.02999999999986,False,19,False,True,1.2719134111420094,False,False
P0019,Exactly Lite,Home & Kitchen,BrandA,1598.69,917.5,2021-08-08,0,0,0,0,681.19,False,47,False,True,1.742441416893733,True,False
P0020,inside x  ,Home & Kitchen,BrandD,991.94,547.97,2022-09-11,0,0,0,0,443.97,False,34,False,True,1.8102085880613903,False,False
P0021,Find Max,Apparel,BrandC,896.56,678.53,2023-04-12,0,0,0,0,218.02999999999997,False,27,False,True,1.3213269862791623,False,False
P0022,Evidence Max,Apparel,BrandE,1440.52,972.79,2023-05-17,0,0,0,0,467.73,False,26,False,True,1.4808129195407025,True,False
P0023,career go  ,Electronics,BrandF,762.89,402.48,2022-01-10,0,0,0,0,360.40999999999997,False,42,False,True,1.8954730669846949,False,False
P0024,Make Pro,Home & Kitchen,BrandD,1036.1,706.28,2024-04-10,0,0,0,0,329.81999999999994,False,15,False,False,1.4669819335107888,False,False
P0025,practice pro  ,Electronics,No Brand,343.06,272.6,2021-10-22,0,0,0,0,70.45999999999998,False,45,False,True,1.2584739545121055,False,True
P0026,Structure X,Electronics,BrandE,997.79,571.01,2022-08-11,0,0,0,0,426.78,False,35,False,True,1.7474124796413373,False,False
P0027,Will X,Home & Kitchen,BrandC,1167.75,842.69,2024-03-17,0,0,0,0,325.05999999999995,False,16,False,False,1.3857409011617556,False,False
P0028,Debate Lite,Books,BrandD,1284.06,949.84,2023-06-14,0,0,0,0,334.2199999999999,False,25,False,True,1.351869788595974,False,False
P0029,argue x  ,Sports,BrandD,571.55,374.39,2024-09-10,0,0,0,0,197.15999999999997,False,10,False,False,1.526616629717674,False,False
P0030,Man Max,Home & Kitchen,BrandA,607.35,355.53,2021-02-02,0,0,0,0,251.82000000000005,False,53,False,True,1.7082946586785928,False,False
P0031,Now Plus,Home & Kitchen,BrandE,194.1,132.58,2021-07-14,0,0,0,0,61.51999999999998,False,48,False,True,1.4640217227334438,False,True
P0032,Change X,Apparel,BrandF,497.02,394.47,2024-01-13,0,0,0,0,102.54999999999995,False,18,False,False,1.2599690724262933,False,True
P0033,Despite Lite,Electronics,BrandC,1229.77,966.33,2024-07-28,0,0,0,0,263.43999999999994,False,12,False,False,1.272619084577732,False,False
P0034,Ask Go,Home & Kitchen,BrandE,935.75,732.17,2023-05-25,0,0,0,0,203.58000000000004,False,26,False,True,1.2780501796030976,False,False
P0035,Teacher X,Electronics,BrandF,369.18,227.37,2023-07-09,0,0,0,0,141.81,False,24,False,True,1.6236970576593217,False,False
P0036,Now Pro,Electronics,BrandE,775.98,191.23,2024-11-27,1,0,0,0,584.75,False,8,False,False,4.057836113580506,True,False
P0037,Apply Plus,Sports,BrandC,1069.52,574.02,2022-02-12,0,1,0,0,495.5,False,41,False,True,1.8632103411030976,True,False
P0038,Even X,Beauty,BrandE,1228.48,754.96,2021-10-03,0,0,0,0,473.52,False,45,False,True,1.6272120377238528,True,False
P0039,Usually Pro,Apparel,BrandB,1090.46,853.16,2023-12-01,0,0,0,0,237.30000000000007,False,19,False,True,1.2781424351821464,False,False
P0040,Green Go,Electronics,BrandF,1234.01,751.9,2022-07-16,0,0,0,0,482.11,False,36,False,True,1.6411889878973267,True,False
P0041,Maybe Plus,Beauty,BrandE,168.43,101.27,2022-11-16,0,0,0,0,67.16000000000001,False,32,False,True,1.6631776439221884,False,True
P0042,Another Lite,Books,BrandB,998.14,581.43,2023-01-23,0,0,0,0,416.71000000000004,False,30,False,True,1.7166984847703077,False,False
P0043,Manager Plus,Electronics,BrandF,207.73,168.63,2022-04-02,0,0,0,0,39.099999999999994,False,39,False,True,1.2318685880329716,False,True
P0044,Treatment Pro,Beauty,BrandF,1551.21,981.27,2024-10-22,0,0,0,0,569.94,False,9,False,False,1.5808187349047664,True,False
P0045,month max  ,Sports,BrandC,879.9449999999999,223.02,2022-11-15,1,0,0,0,656.925,False,32,False,True,3.945587839655636,True,False
P0046,score lite  ,Beauty,BrandD,1064.77,577.97,2023-11-13,0,0,0,0,486.79999999999995,False,20,False,True,1.8422582486980292,True,False
P0047,Require Plus,Apparel,BrandB,162.74,123.27,2023-12-26,0,0,0,0,39.47000000000001,False,19,False,True,1.3201914496633407,False,True
P0048,Sometimes Pro,Electronics,BrandF,1047.98,812.63,2021-01-12,0,0,0,0,235.35000000000002,False,54,False,True,1.2896152000295338,False,False
P0049,woman max  ,Sports,BrandB,581.92,574.02,2024-10-07,0,1,0,0,7.899999999999977,False,9,False,False,1.013762586669454,False,True
P0050,Present Lite,Home & Kitchen,BrandF,1110.26,671.55,2022-07-14,0,0,0,0,438.71000000000004,False,36,False,True,1.653279726006999,False,False
P0051,Wear Lite,Electronics,BrandE,799.96,400.19,2024-08-15,0,0,0,0,399.77000000000004,False,11,False,False,1.9989504985132063,False,False
P0052,among lite  ,Apparel,BrandB,779.99,980.86,2024-10-16,1,0,0,0,-200.87,True,9,False,False,0.7952103256326081,False,True
P0053,Six Plus,Sports,BrandB,776.45,465.09,2021-05-25,0,0,0,0,311.36000000000007,False,50,False,True,1.6694618245930897,False,False
P0054,Point Pro,Apparel,BrandD,1420.43,782.02,2022-10-30,0,0,0,0,638.4100000000001,False,33,False,True,1.8163601953914223,True,False
P0055,Ahead Go,Sports,BrandC,879.9449999999999,180.58,2024-08-09,1,0,0,0,699.3649999999999,False,11,False,False,4.872881825229815,True,False
P0056,Mrs Max,Sports,BrandB,1700.29,854.94,2022-05-29,0,0,0,0,845.3499999999999,False,38,False,True,1.9887828385617703,True,False
P0057,Move Lite,Books,BrandC,809.94,474.45,2024-04-17,0,0,0,0,335.49000000000007,False,15,False,False,1.7071134998419224,False,False
P0058,Guy Plus,Home & Kitchen,BrandC,495.55,541.77,2023-01-14,0,1,0,0,-46.21999999999997,True,30,False,True,0.9146870443176994,False,True
P0059,Give Go,Home & Kitchen,BrandE,798.39,511.87,2023-09-20,1,0,0,0,286.52,False,22,False,True,1.5597514994041455,False,False
P0060,even plus  ,Home & Kitchen,No Brand,798.39,541.77,2024-07-01,1,1,0,0,256.62,False,12,False,False,1.4736696384074424,False,False
P0061,road go  ,Sports,BrandF,595.18,329.67,2021-12-21,0,0,0,0,265.50999999999993,False,43,False,True,1.8053811387144718,False,False
P0062,Whatever Go,Electronics,BrandE,341.57,207.64,2021-12-15,0,0,0,0,133.93,False,43,False,True,1.6450105952610288,False,False
P0063,Effort Max,Home & Kitchen,BrandF,1192.02,806.46,2024-07-22,0,0,0,0,385.55999999999995,False,12,False,False,1.4780894278699501,False,False
P0064,Television Go,Apparel,BrandE,989.33,550.39,2021-07-11,0,0,0,0,438.94000000000005,False,48,False,True,1.7975072221515653,False,False
P0065,Energy Go,Sports,BrandB,611.6,449.48,2022-04-28,0,0,0,0,162.12,False,39,False,True,1.3606834564385513,False,False
P0066,Left Max,Books,BrandC,874.6,856.18,2024-05-20,1,0,0,0,18.420000000000073,False,14,False,False,1.0215141675815833,False,True
P0067,Enough Plus,Books,BrandC,245.84,164.46,2028-01-01,0,0,0,0,81.38,False,-30,True,False,1.4948315699866228,False,True
P0068,house plus  ,Home & Kitchen,BrandE,1728.35,875.36,2024-10-28,0,0,0,0,852.9899999999999,False,9,False,False,1.9744447998537744,True,False
P0069,Technology Pro,Beauty,BrandF,147.88,110.52,2023-12-03,0,0,0,0,37.36,False,19,False,True,1.338038364096996,False,True
P0070,Level Pro,Home & Kitchen,BrandE,228.36,135.32,2021-04-17,0,0,0,0,93.04000000000002,False,51,False,True,1.6875554241797224,False,True
P0071,Thought Plus,Home & Kitchen,BrandE,235.25,153.53,2022-04-15,0,0,0,0,81.72,False,39,False,True,1.53227382270566,False,True
P0072,Machine Plus,Electronics,BrandF,1204.22,516.31,2024-04-10,0,1,0,0,687.9100000000001,False,15,False,False,2.332358466812574,True,False
P0073,Say Go,Home & Kitchen,No Brand,317.28,218.19,2021-04-12,0,0,0,0,99.08999999999997,False,51,False,True,1.4541454695448919,False,True
P0074,Finally Max,Sports,BrandE,700.05,574.02,2023-04-07,0,1,0,0,126.02999999999997,False,27,False,True,1.219556809867252,False,True
P0075,Whole X,Beauty,BrandB,144.35,120.28,2022-03-17,0,0,0,0,24.069999999999993,False,40,False,True,1.2001163950781508,False,True
P0076,Various Pro,Sports,BrandD,361.3,280.94,2024-03-11,0,0,0,0,80.36000000000001,False,16,False,False,1.286039723784438,False,True
P0077,Mean Lite,Sports,BrandF,785.66,585.17,2024-11-13,0,0,0,0,200.49,False,8,False,False,1.3426183844011141,False,False
P0078,Should Go,Home & Kitchen,BrandD,538.15,433.93,2023-06-04,0,0,0,0,104.21999999999997,False,25,False,True,1.2401769870716475,False,True
P0079,Huge X,Sports,BrandD,879.9449999999999,705.72,2022-08-12,1,0,0,0,174.2249999999999,False,35,False,True,1.2468755313722155,False,False
P0080,Face Plus,Home & Kitchen,BrandF,408.23,264.07,2024-12-25,0,0,0,0,144.16000000000003,False,7,False,False,1.5459158556443369,False,False
P0081,rock plus  ,Sports,BrandF,809.97,511.41,2023-02-26,0,0,0,0,298.56,False,29,False,True,1.5837977356719657,False,False
P0082,south plus  ,Apparel,BrandC,340.17,214.43,2023-09-23,0,0,0,0,125.74000000000001,False,22,False,True,1.586391829501469,False,True
P0083,Ever Go,Sports,No Brand,622.87,461.42,2022-05-08,0,0,0,0,161.45,False,38,False,True,1.3498981405227342,False,False
P0084,Them Max,Beauty,BrandA,769.895,201.76,2021-06-27,1,0,0,0,568.135,False,49,False,True,3.815895122918319,True,False
P0085,Defense Pro,Sports,BrandF,421.11,574.02,2023-09-05,0,1,0,0,-152.90999999999997,True,22,False,True,0.7336155534650362,False,True
P0086,Majority Pro,Home & Kitchen,BrandF,736.27,795.05,2021-11-24,0,0,0,0,-58.77999999999997,True,44,False,True,0.9260675429218288,False,True
P0087,Ball Pro,Home & Kitchen,BrandF,972.8,587.01,2021-11-21,0,0,0,0,385.78999999999996,False,44,False,True,1.6572119725387984,False,False
P0088,Off Max,Sports,BrandC,687.95,354.87,2021-03-13,0,0,0,0,333.08000000000004,False,52,False,True,1.9385972327894723,False,False
P0089,Stay Lite,Apparel,BrandE,457.41,291.15,2021-09-29,0,0,0,0,166.26000000000005,False,46,False,True,1.5710458526532718,False,False
P0090,Kid X,Electronics,BrandE,1671.65,874.23,2024-12-30,0,0,0,0,797.4200000000001,False,7,False,False,1.9121398259039384,True,False
P0091,Senior Lite,Books,BrandD,477.79,564.59,2023-07-09,0,0,0,0,-86.80000000000001,True,24,False,True,0.8462601179617067,False,True
P0092,though pro  ,Home & Kitchen,BrandB,159.15,128.47,2023-08-01,0,0,0,0,30.680000000000007,False,23,False,True,1.238810617264731,False,True
P0093,Dream X,Home & Kitchen,BrandD,798.39,304.0,2021-08-18,1,0,0,0,494.39,False,47,False,True,2.626282894736842,True,False
P0094,upon plus  ,Sports,No Brand,1651.35,960.8,2024-07-29,0,0,0,0,690.55,False,12,False,False,1.7187239800166527,True,False
P0095,table lite  ,Electronics,No Brand,227.82,516.31,2021-07-29,0,1,0,0,-288.48999999999995,True,48,False,True,0.4412465379326374,False,True
P0096,My Max,Beauty,BrandC,237.28,120.23,2021-07-22,0,0,0,0,117.05,False,48,False,True,1.973550694502204,False,True
P0097,speech pro  ,Home & Kitchen,BrandE,834.35,666.97,2022-05-20,0,0,0,0,167.38,False,38,False,True,1.2509558151041276,False,False
P0098,Instead Pro,Beauty,BrandF,769.895,613.04,2024-05-29,1,0,0,0,156.85500000000002,False,14,False,False,1.2558642176693202,False,False
P0099,Enjoy X,Sports,BrandA,1343.56,834.97,2022-11-06,0,0,0,0,508.5899999999999,False,32,False,True,1.6091117046121417,True,False
P0100,High Pro,Home & Kitchen,No Brand,1156.63,890.96,2021-10-10,0,0,0,0,265.6700000000001,False,45,False,True,1.2981839813235163,False,False
P0101,Significant Max,Home & Kitchen,BrandE,242.86,133.02,2023-09-02,0,0,0,0,109.84,False,22,False,True,1.8257404901518568,False,True
P0102,Civil Pro,Apparel,BrandC,251.41,147.5,2021-11-12,0,0,0,0,103.91,False,44,False,True,1.7044745762711864,False,True
P0103,Rise Plus,Home & Kitchen,BrandF,540.09,307.39,2021-10-28,0,0,0,0,232.70000000000005,False,45,False,True,1.7570187709424512,False,False
P0104,parent x  ,Sports,No Brand,1614.55,945.95,2022-12-11,0,0,0,0,668.5999999999999,False,31,False,True,1.7068026851313494,True,False
P0105,Different Go,Home & Kitchen,BrandA,1113.01,690.79,2028-01-01,0,0,0,0,422.22,False,-30,True,False,1.6112132485994297,False,False
P0106,Value Max,Sports,BrandF,729.11,582.55,2022-07-07,0,0,0,0,146.56000000000006,False,36,False,True,1.2515835550596517,False,False
P0107,Economic Lite,Sports,BrandB,477.59,574.02,2024-06-28,0,1,0,0,-96.43,True,13,False,False,0.8320093376537403,False,True
P0108,Hear Lite,Sports,BrandF,879.9449999999999,147.88,2024-05-24,1,0,0,0,732.0649999999999,False,14,False,False,5.950398972139572,True,False
P0109,recent plus  ,Beauty,BrandF,619.78,747.32,2024-03-24,0,0,0,0,-127.54000000000008,True,16,False,False,0.8293368302735106,False,True
P0110,Game Max,Home & Kitchen,BrandD,95.6,108.23,2024-02-25,0,0,0,0,-12.63000000000001,True,17,False,False,0.8833040746558255,False,True
P0111,West Plus,Beauty,No Brand,423.49,325.69,2021-12-12,0,0,0,0,97.80000000000001,False,43,False,True,1.3002855476066197,False,True
P0112,property go  ,Sports,No Brand,711.61,807.65,2023-05-15,0,0,0,0,-96.03999999999996,True,26,False,True,0.88108710456262,False,True
P0113,Current Pro,Home & Kitchen,BrandD,1120.29,841.03,2023-09-28,0,0,0,0,279.26,False,22,False,True,1.3320452302533798,False,False
P0114,Go Go,Apparel,BrandC,779.99,208.42,2024-09-06,1,0,0,0,571.57,False,10,False,False,3.742395163611938,True,False
P0115,sense pro  ,Home & Kitchen,BrandF,326.72,226.5,2021-01-08,0,0,0,0,100.22000000000003,False,54,False,True,1.4424724061810155,False,True
P0116,Community Plus,Sports,BrandF,1607.44,986.7,2022-07-10,0,0,0,0,620.74,False,36,False,True,1.6291071247592988,True,False
P0117,Item Lite,Electronics,BrandB,1032.25,602.98,2022-11-19,0,0,0,0,429.27,False,32,False,True,1.711914159673621,False,False
P0118,yourself plus  ,Home & Kitchen,BrandF,379.53,266.0,2024-09-28,0,0,0,0,113.52999999999997,False,10,False,False,1.4268045112781953,False,True
P0119,Role Lite,Home & Kitchen,BrandF,590.74,451.23,2028-01-01,0,0,0,0,139.51,False,-30,True,False,1.3091771380448995,False,False
P0120,With Pro,Electronics,BrandE,775.98,444.11,2021-05-03,1,0,0,0,331.87,False,50,False,True,1.7472698205399564,False,False
P0121,Sister Pro,Apparel,No Brand,1258.13,718.99,2022-08-20,0,0,0,0,539.1400000000001,False,35,False,True,1.7498574389073562,True,False
P0122,Player X,Sports,BrandD,1315.86,704.18,2021-04-03,0,0,0,0,611.68,False,51,False,True,1.8686415405152093,True,False
P0123,Magazine X,Books,BrandD,782.12,926.81,2022-02-12,0,0,0,0,-144.68999999999994,True,41,False,True,0.8438838596907673,False,True
P0124,Quality Go,Electronics,BrandB,775.98,712.08,2022-12-24,1,0,0,0,63.89999999999998,False,31,False,True,1.089737108190091,False,True
P0125,Reason Go,Apparel,BrandE,566.81,424.26,2021-11-21,0,0,0,0,142.54999999999995,False,44,False,True,1.335996794418517,False,False
P0126,Cell Go,Sports,BrandE,1281.23,909.06,2021-04-12,0,0,0,0,372.1700000000001,False,51,False,True,1.4094009196312676,False,False
P0127,Sell Go,Home & Kitchen,No Brand,798.39,164.63,2022-07-20,1,0,0,0,633.76,False,36,False,True,4.849602138127923,True,False
P0128,Hope X,Electronics,BrandF,1126.08,915.9,2024-06-21,0,0,0,0,210.17999999999995,False,13,False,False,1.229479200786112,False,False
P0129,professor max  ,Home & Kitchen,BrandD,1219.09,836.4,2024-10-06,0,0,0,0,382.68999999999994,False,9,False,False,1.457544237207078,False,False
P0130,Cup Go,Books,BrandD,467.44,235.54,2024-01-10,0,0,0,0,231.9,False,18,False,False,1.9845461492740086,False,False
P0131,Girl X,Apparel,BrandC,779.99,335.07,2024-05-28,1,0,0,0,444.92,False,14,False,False,2.327841943474498,False,False
P0132,Plan X,Electronics,BrandE,775.98,922.44,2023-01-24,1,0,0,0,-146.46000000000004,True,30,False,True,0.8412254455574346,False,True
P0133,Catch X,Sports,No Brand,786.9,460.46,2023-07-23,0,0,0,0,326.44,False,24,False,True,1.708943230682361,False,False
P0134,When Plus,Home & Kitchen,BrandC,652.16,745.51,2022-11-28,0,0,0,0,-93.35000000000002,True,32,False,True,0.8747837051146194,False,True
P0135,Hit Go,Books,BrandD,1034.13,658.93,2023-11-27,0,0,0,0,375.20000000000016,False,20,False,True,1.5694079796032965,False,False
P0136,Bit Pro,Sports,BrandC,171.67,113.63,2023-02-11,0,0,0,0,58.03999999999999,False,29,False,True,1.5107806037138078,False,True
P0137,Couple Pro,Books,BrandF,362.02,232.86,2021-09-01,0,0,0,0,129.15999999999997,False,46,False,True,1.5546680408829339,False,False
P0138,Movement Max,Apparel,BrandB,385.71,274.4,2021-05-03,0,0,0,0,111.31,False,50,False,True,1.4056486880466472,False,True
P0139,Agency Go,Sports,No Brand,218.14,111.61,2028-01-01,0,0,0,0,106.52999999999999,False,-30,True,False,1.9544843652002508,False,True
P0140,Support Pro,Electronics,BrandD,1394.0,956.85,2024-08-09,0,0,0,0,437.15,False,11,False,False,1.4568636672414694,False,False
P0141,Sense Plus,Apparel,BrandA,165.97,124.08,2021-07-23,0,0,0,0,41.89,False,48,False,True,1.3376047711154093,False,True
P0142,Budget Max,Sports,BrandC,620.17,455.62,2024-11-04,0,0,0,0,164.54999999999995,False,8,False,False,1.361156226680128,False,False
P0143,Some Pro,Apparel,BrandE,1184.0,689.05,2024-06-10,0,0,0,0,494.95000000000005,False,13,False,False,1.718307815107757,True,False
P0144,Rest Pro,Home & Kitchen,BrandC,913.5,616.29,2022-03-15,0,0,0,0,297.21000000000004,False,40,False,True,1.482256729786302,False,False
P0145,Whatever X,Electronics,BrandF,649.69,973.97,2023-08-16,0,0,0,0,-324.28,True,23,False,True,0.6670534000020535,False,True
P0146,Player Lite,Books,BrandD,1338.54,766.2,2023-01-04,0,0,0,0,572.3399999999999,False,30,False,True,1.7469851213782301,True,False
P0147,Much X,Apparel,No Brand,572.03,336.15,2021-02-27,0,0,0,0,235.88,False,53,False,True,1.7017105458872528,False,False
P0148,Smile Max,Apparel,No Brand,660.55,432.68,2024-04-27,0,0,0,0,227.86999999999995,False,15,False,False,1.526647869094943,False,False
P0149,Feeling Max,Apparel,BrandF,604.04,462.58,2022-08-16,0,0,0,0,141.45999999999998,False,35,False,True,1.30580656318907,False,False
P0150,Operation Pro,Apparel,BrandE,159.06,103.16,2023-12-02,0,0,0,0,55.900000000000006,False,19,False,True,1.5418766963939512,False,True
P0151,Sure X,Books,BrandB,245.45,128.63,2023-08-29,0,0,0,0,116.82,False,23,False,True,1.908186270698904,False,True
P0152,Travel Lite,Books,BrandE,905.8,724.91,2021-03-15,0,0,0,0,180.89,False,52,False,True,1.2495344249630989,False,False
P0153,Social X,Home & Kitchen,BrandC,795.25,604.29,2021-02-01,0,0,0,0,190.96000000000004,False,53,False,True,1.3160072150788529,False,False
P0154,Walk Plus,Apparel,BrandB,737.85,506.29,2024-08-28,0,0,0,0,231.56,False,11,False,False,1.457366331549112,False,False
P0155,Ok Lite,Books,BrandF,1014.85,552.67,2023-02-25,0,0,0,0,462.18000000000006,False,29,False,True,1.8362675737782042,True,False
P0156,Economy Lite,Beauty,BrandC,978.59,723.87,2021-11-26,0,0,0,0,254.72000000000003,False,44,False,True,1.3518863884399133,False,False
P0157,Firm Lite,Electronics,BrandB,739.93,452.67,2024-12-26,0,0,0,0,287.25999999999993,False,7,False,False,1.6345903196589124,False,False
P0158,Leave Lite,Apparel,BrandB,497.4,288.84,2024-12-08,0,0,0,0,208.56,False,7,False,False,1.7220606564187786,False,False
P0159,Important Lite,Home & Kitchen,BrandD,562.78,413.0,2023-08-02,0,0,0,0,149.77999999999997,False,23,False,True,1.3626634382566585,False,False
P0160,Into Pro,Books,BrandB,990.09,626.15,2021-06-13,0,0,0,0,363.94000000000005,False,49,False,True,1.5812345284676197,False,False
P0161,Benefit Max,Beauty,No Brand,1126.21,688.98,2022-10-23,0,0,0,0,437.23,False,33,False,True,1.6346047780777382,False,False
P0162,Quite Lite,Home & Kitchen,BrandF,1573.56,873.22,2023-12-25,0,0,0,0,700.3399999999999,False,19,False,True,1.802020109479856,True,False
P0163,accept pro  ,Electronics,BrandC,326.66,233.92,2023-01-28,0,0,0,0,92.74000000000004,False,30,False,True,1.3964603283173735,False,True
P0164,Dog Pro,Apparel,BrandB,390.37,613.78,2023-11-18,0,0,0,0,-223.40999999999997,True,20,False,True,0.6360096451497279,False,True
P0165,Huge Go,Electronics,BrandC,1627.8,930.35,2024-11-18,0,0,0,0,697.4499999999999,False,8,False,False,1.7496641049067554,True,False
P0166,Explain Lite,Books,BrandA,176.42,271.53,2022-11-07,0,0,0,0,-95.10999999999999,True,32,False,True,0.6497256288439583,False,True
P0167,care lite  ,Electronics,BrandC,775.98,964.4,2022-06-23,1,0,0,0,-188.41999999999996,True,37,False,True,0.8046246370800498,False,True
P0168,Main Plus,Apparel,BrandD,822.02,589.35,2024-04-14,0,0,0,0,232.66999999999996,False,15,False,False,1.3947908712988886,False,False
P0169,Role Lite,Books,BrandE,398.01,231.29,2024-06-18,0,0,0,0,166.72,False,13,False,False,1.7208266678196205,False,False
P0170,Once Plus,Electronics,BrandD,901.74,516.31,2023-09-30,0,0,0,0,385.43000000000006,False,22,False,True,1.7465088803238367,False,False
P0171,International Pro,Home & Kitchen,BrandC,1387.02,854.52,2024-12-29,0,0,0,0,532.5,False,7,False,False,1.6231568599915742,True,False
P0172,Threat Go,Beauty,BrandC,769.895,998.91,2024-09-01,1,0,0,0,-229.015,True,10,False,False,0.7707351012603738,False,True
P0173,Clearly X,Beauty,BrandB,127.11,181.27,2024-10-01,0,0,0,0,-54.16000000000001,True,9,False,False,0.7012191758150824,False,True
P0174,part max  ,Electronics,BrandC,175.43,125.78,2021-11-20,0,0,0,0,49.650000000000006,False,44,False,True,1.3947368421052633,False,True
P0175,Easy Max,Apparel,BrandF,400.36,313.76,2021-05-15,0,0,0,0,86.60000000000002,False,50,False,True,1.2760071392146866,False,True
P0176,Later X,Electronics,BrandA,440.33,223.15,2022-10-26,0,0,0,0,217.17999999999998,False,33,False,True,1.9732466950481737,False,False
P0177,Do Pro,Beauty,BrandF,740.46,531.09,2024-04-28,0,0,0,0,209.37,False,15,False,False,1.3942269671807037,False,False
P0178,For Plus,Beauty,BrandF,870.92,710.63,2021-06-24,0,0,0,0,160.28999999999996,False,49,False,True,1.2255604182204523,False,False
P0179,Prove Go,Sports,BrandA,1408.04,873.89,2023-12-12,0,0,0,0,534.15,False,19,False,True,1.611232534987241,True,False
P0180,Purpose Lite,Home & Kitchen,BrandA,759.15,465.42,2021-01-22,0,0,0,0,293.72999999999996,False,54,False,True,1.6311073868763697,False,False
P0181,Rise X,Books,No Brand,1147.93,621.62,2024-10-08,0,0,0,0,526.3100000000001,False,9,False,False,1.8466748174125673,True,False
P0182,Medical X,Electronics,BrandF,1147.39,766.3,2021-02-04,0,0,0,0,381.09000000000015,False,53,False,True,1.4973117577972075,False,False
P0183,Perhaps Pro,Home & Kitchen,BrandD,290.34,155.73,2024-06-21,0,0,0,0,134.60999999999999,False,13,False,False,1.8643806588325949,False,False
P0184,Space Pro,Sports,No Brand,1056.6,822.13,2021-09-20,0,0,0,0,234.4699999999999,False,46,False,True,1.285198204663496,False,False
P0185,Really Pro,Beauty,BrandC,1317.99,885.18,2024-02-10,0,0,0,0,432.81000000000006,False,17,False,False,1.4889513997153123,False,False
P0186,career plus  ,Beauty,BrandA,958.83,518.76,2023-11-16,0,1,0,0,440.07000000000005,False,20,False,True,1.8483113578533428,False,False
P0187,Decade Pro,Home & Kitchen,BrandB,1343.71,727.79,2022-03-07,0,0,0,0,615.9200000000001,False,40,False,True,1.8462880776048036,True,False
P0188,Language Plus,Sports,BrandE,675.91,430.49,2024-10-07,0,0,0,0,245.41999999999996,False,9,False,False,1.5700945434272573,False,False
P0189,turn lite  ,Home & Kitchen,BrandA,345.37,230.94,2021-11-07,0,0,0,0,114.43,False,44,False,True,1.495496665800641,False,True
P0190,Dream Go,Electronics,BrandE,1021.12,512.17,2021-07-21,0,0,0,0,508.95000000000005,False,48,False,True,1.9937130249721773,True,False
P0191,Book Lite,Home & Kitchen,BrandD,1107.79,631.84,2023-03-10,0,0,0,0,475.94999999999993,False,28,False,True,1.7532761458597113,True,False
P0192,Discussion Pro,Beauty,BrandC,827.72,424.63,2024-01-19,0,0,0,0,403.09000000000003,False,18,False,False,1.9492734851517792,False,False
P0193,Rather Lite,Apparel,BrandA,505.63,381.45,2022-09-07,0,0,0,0,124.18,False,34,False,True,1.3255472538995936,False,True
