sku_id,date,competitor_id,competitor_price
P0867,2024-08-21,C007,742.08
P0755,2024-12-06,C008,325.12
P1146,2024-11-14,C008,2130.86
P0637,2025-04-29,C006,2445.85
P1383,2024-07-24,C008,1700.66
P0992,2024-07-31,C006,2440.08
P0377,2024-10-23,C009,1821.67
P0451,2024-11-26,C010,997.01
P1226,2024-08-21,C009,486.49
P0360,2025-06-25,C001,2061.31
P0468,2024-09-30,C001,1774.65
P0688,2025-06-12,C009,1319.2
P0572,2025-05-24,C006,630.94
P0688,2024-12-08,C008,1034.62
P1080,2024-09-26,C010,2239.47
P0992,2024-07-30,,523.24
P0441,2025-06-23,C004,1947.77
P0787,2024-12-24,C002,966.53
P0373,2025-01-24,C008,1330.1
P0284,2025-06-21,C008,1525.25
P0839,2025-05-30,C005,976.3
P0971,2024-09-26,C008,1219.87
P1263,2025-03-08,C003,828.62
P0236,2024-07-27,C003,352.1
P0855,2024-09-23,C004,2484.38
P0455,2024-07-11,C009,1478.62
P0726,2025-02-12,C002,1783.81
P1402,2024-11-02,C001,2425.94
P0792,2024-10-02,C003,991.15
P1234,2024-07-27,C002,1343.16
P0055,2025-04-14,C003,1118.86
P0161,2024-07-22,C002,1613.11
P1006,2024-10-06,C004,1384.3
P0105,2024-08-02,C007,1833.25
P0954,2024-10-23,C007,601.11
P0421,2024-09-05,C006,752.54
P0624,2024-12-03,C009,2100.95
P0645,2024-12-23,C005,2443.42
P1093,2024-08-12,C006,1459.94
P1317,2025-02-14,C009,688.55
P1236,2024-11-20,C006,2397.0
P1195,2024-12-02,C005,1628.25
P1345,2024-09-21,C005,2302.87
P0841,2025-05-03,C009,1270.77
P0936,2025-06-11,C008,1564.3
P0261,2024-10-16,C009,1980.18
P0344,2024-08-06,C009,2166.68
P0233,2025-04-05,C003,896.82
P0932,2024-07-15,C006,362.4
P1416,2025-01-30,C001,1617.11
P0690,2025-01-16,C009,2294.46
P1277,2024-11-15,C009,874.78
P0139,2024-12-28,C001,1451.14
P0981,2025-01-24,C009,426.88
P0432,2025-03-03,C004,1999.0
P0807,2025-01-15,C002,1771.31
P0773,2025-02-17,C005,2332.56
P1349,2024-09-10,C003,903.25
P0843,2024-12-04,C010,1125.96
P0106,2024-10-04,C006,2335.58
P1010,2025-05-12,C006,2206.5
P1093,2024-08-16,C005,2189.36
P0996,2025-06-01,C003,
P0260,2025-01-06,C002,441.85
BROKEN_SKU,2025-04-12,C007,1730.35
P1151,2024-11-21,C009,2234.67
P0550,2025-04-21,C007,2072.22
P1487,2025-03-06,C009,1583.28
P1237,2024-11-19,C010,2359.56
P1337,2025-04-23,C010,753.59
P1063,2024-08-18,C010,828.66
P1260,2025-07-03,C006,573.01
P0988,2025-03-18,C009,862.94
P0964,2024-08-03,C002,674.16
P0774,2024-12-16,C005,1705.24
P1019,2025-05-19,C005,1998.27
P0230,2025-05-21,C008,1592.2
P0771,2025-04-10,C003,878.93
P1254,2024-12-10,C007,1667.99
P0515,2025-05-21,C010,1386.92
P0243,2025-03-26,C008,1837.99
