sku_id,date,stock_level,restock_flag,supplier_lead_time
P1122,2024-10-05,25,1.0,8.0
P1274,2025-03-21,74,0.0,2.0
P0309,2023-09-21,44,0.0,4.0
P0940,2025-03-12,62,0.0,8.0
P0816,2024-01-14,50,1.0,4.0
P1389,2023-09-26,44,0.0,2.0
P1259,2024-05-05,62,0.0,14.0
P0785,2023-10-02,33,0.0,2.0
P0441,2024-09-29,74,0.0,14.0
P0568,2024-07-02,29,1.0,8.0
INVALID_SKU,2024-08-29,5,1.0,4.0
P0520,2023-10-05,30,0.0,14.0
P0063,2024-12-06,109,0.0,12.0
P0438,2023-10-23,72,0.0,10.0
P1302,2024-02-18,4,0.0,4.0
P0708,2024-08-10,31,0.0,2.0
P0817,2024-10-27,21,0.0,11.0
P1300,2024-02-04,72,0.0,9.0
P1457,2025-05-07,37,1.0,10.0
P0405,2024-10-06,16,0.0,12.0
P0997,2024-08-14,46,1.0,2.0
P0122,2023-11-10,51,0.0,11.0
P0897,2023-09-23,58,0.0,2.0
P1159,2024-06-26,67,0.0,9.0
P0185,2024-06-06,28,1.0,9.0
P0942,2023-07-13,66,0.0,12.0
P0613,2025-05-15,20,0.0,5.0
P0522,2024-12-08,0,0.0,7.0
P1378,2024-06-20,68,0.0,1.0
P1290,2024-09-05,66,0.0,9.0
P0452,2024-12-21,10,1.0,5.0
P1345,2024-03-19,69,0.0,4.0
P1285,2024-07-03,108,0.0,5.0
P0968,2023-07-12,65,0.0,8.0
P0630,2025-06-06,36,0.0,5.0
P0887,2024-10-02,41,1.0,
P1446,2025-05-05,40,1.0,11.0
P1460,2025-06-02,71,1.0,2.0
P1093,2023-11-11,40,0.0,5.0
P1024,2023-11-29,67,0.0,2.0
P0987,2023-07-25,64,0.0,14.0
P0596,2025-07-05,52,0.0,2.0
P1430,2025-03-04,54,0.0,7.0
P1358,2025-02-27,10,1.0,14.0
P0724,2023-10-19,12,1.0,9.0
P0749,2025-05-24,44,0.0,12.0
P0239,2024-05-17,73,0.0,13.0
P1350,2023-12-20,105,0.0,3.0
P0090,2024-12-21,54,0.0,6.0
P0480,2023-10-01,93,0.0,4.0
P0007,2024-12-20,61,0.0,13.0
P1447,2023-11-24,27,0.0,11.0
P0965,2025-05-16,0,1.0,7.0
P0037,2023-09-25,29,1.0,1.0
P0517,2024-09-22,49,0.0,8.0
P1298,2024-03-11,93,0.0,13.0
P0544,2024-05-24,72,0.0,4.0
P1305,2024-08-26,56,0.0,4.0
P1477,2023-10-25,89,0.0,14.0
P0766,2024-09-28,18,1.0,12.0
P0625,2024-05-08,5,0.0,7.0
P1460,2023-10-28,5,0.0,3.0
P1251,2025-04-25,73,0.0,1.0
P1071,2025-02-11,76,1.0,12.0
P0995,2025-03-19,0,0.0,8.0
P0196,2024-08-10,60,0.0,10.0
P0984,2023-10-16,61,0.0,7.0
P1084,2024-07-21,17,0.0,5.0
P0330,2023-10-11,0,0.0,8.0
P0997,2024-08-03,88,0.0,7.0
P0693,2024-02-23,38,0.0,12.0
P0203,2024-02-09,59,1.0,7.0
P1064,2023-12-06,33,0.0,
P0480,2024-10-31,48,0.0,1.0
P0276,2023-07-10,45,0.0,13.0
P0070,2023-12-16,27,0.0,4.0
P0376,2024-02-26,52,0.0,7.0
P1077,2024-05-17,83,0.0,8.0
P0568,2023-10-04,71,0.0,7.0
P0220,2023-08-16,57,0.0,1.0
P0151,2024-12-17,23,1.0,12.0
P0274,2024-06-29,70,0.0,6.0
P0244,2024-01-11,11,1.0,14.0
P1289,2024-11-12,44,0.0,3.0
P1177,2024-11-11,2,0.0,9.0
P0306,2025-03-01,22,0.0,10.0
P0426,2025-07-05,155,1.0,1.0
P1109,2023-11-17,64,1.0,13.0
P0895,2023-07-22,65,0.0,11.0
P1204,2025-05-13,0,1.0,2.0
P1234,2023-12-27,71,0.0,4.0
P0038,2023-09-17,20,0.0,12.0
P1219,2024-08-17,28,0.0,4.0
P1123,2024-02-18,30,0.0,13.0
P0554,2024-12-07,62,1.0,12.0
P0386,2024-08-15,76,0.0,1.0
P0699,2025-02-25,41,0.0,8.0
P1150,2023-10-01,65,0.0,10.0
P0686,2024-12-25,9,0.0,2.0
P0449,2025-03-18,4,1.0,3.0
P1432,2024-05-15,55,0.0,13.0
P0369,2023-12-26,27,0.0,2.0
P0398,2025-01-18,52,0.0,8.0
P1243,2025-05-23,81,1.0,5.0
P0584,2024-04-23,10,0.0,9.0
P0989,2024-02-09,47,1.0,13.0
P1426,2024-08-21,149,1.0,6.0
P0669,2024-03-20,25,1.0,8.0
P0908,2024-01-22,28,0.0,10.0
P0514,2024-08-03,93,0.0,3.0
P1112,2024-02-18,8,1.0,9.0
P0366,2024-12-12,82,0.0,7.0
P0927,2024-09-01,91,0.0,4.0
P0140,2024-07-03,58,1.0,8.0
P0348,2025-03-30,51,0.0,8.0
P0242,2025-01-01,100,0.0,12.0
P1425,2024-01-05,17,1.0,10.0
P0392,2024-04-14,25,0.0,11.0
P0853,2024-01-09,71,0.0,4.0
P0115,2024-10-13,118,0.0,2.0
P0867,2024-12-15,61,1.0,10.0
P0905,2023-08-10,31,1.0,5.0
P1372,2024-09-10,1,0.0,7.0
P1162,2024-03-28,51,0.0,14.0
P1167,2024-12-03,122,1.0,7.0
P0486,2024-12-19,104,1.0,
P1264,2024-04-25,63,,11.0
P1473,2025-06-17,31,0.0,6.0
P1134,2023-07-16,85,0.0,12.0
P0547,2025-06-26,50,1.0,12.0
P1069,2025-07-04,9,1.0,4.0
P1180,2023-11-14,0,0.0,6.0
P0371,2024-01-16,53,0.0,11.0
P0916,2024-08-20,10,0.0,1.0
P0515,2024-03-05,34,0.0,6.0
P0969,2024-01-16,21,1.0,12.0
P0349,2025-01-18,39,0.0,6.0
P0664,2024-01-13,42,0.0,2.0
P0419,2024-11-19,23,0.0,8.0
P0997,2023-11-23,20,1.0,9.0
P1247,2025-01-30,49,0.0,9.0
P0125,2024-11-03,31,0.0,14.0
P0185,2023-11-16,17,1.0,12.0
P0538,2024-01-31,29,1.0,13.0
P0913,2024-04-16,59,0.0,13.0
P0055,2025-01-22,57,0.0,8.0
P1419,2025-05-16,22,0.0,13.0
P1114,2023-10-28,71,0.0,12.0
P1098,2024-04-24,68,1.0,9.0
P0798,2025-01-24,79,1.0,4.0
P0180,2024-10-22,51,0.0,10.0
P1096,2025-04-02,61,0.0,14.0
P0646,2024-11-03,64,0.0,12.0
P0925,2023-09-16,90,0.0,10.0
P0569,2023-10-23,65,0.0,10.0
P0727,2023-12-23,7,0.0,6.0
P0722,2025-03-25,33,0.0,8.0
P0219,2023-12-03,59,0.0,8.0
P0663,2024-07-15,20,1.0,8.0
P0927,2025-02-15,73,0.0,14.0
P0574,2025-01-18,67,0.0,
P0175,2023-12-20,58,0.0,4.0
P0735,2024-11-08,69,1.0,9.0
P0170,2024-04-22,53,0.0,8.0
P0297,2023-08-24,51,0.0,5.0
P0970,2024-01-08,70,0.0,13.0
P0986,2024-10-13,68,0.0,9.0
P0195,2024-06-13,37,0.0,3.0
P1371,2024-11-17,72,0.0,7.0
P0440,2023-12-27,65,0.0,3.0
P0863,2024-03-20,43,0.0,11.0
P0568,2024-01-25,57,1.0,3.0
P0482,2024-03-17,50,0.0,6.0
P0827,2024-11-27,44,1.0,12.0
P0829,2023-10-13,77,0.0,6.0
P0287,2023-11-13,65,1.0,11.0
P1222,2023-08-04,0,0.0,4.0
P1365,2024-07-16,87,0.0,10.0
P0696,2025-02-17,0,0.0,6.0
P1296,2024-10-11,69,0.0,14.0
P0027,2024-08-23,8,0.0,8.0
P0409,2024-03-15,98,0.0,6.0
P0302,2025-03-19,19,0.0,12.0
P0154,2025-05-01,32,0.0,12.0
P0914,2025-03-25,23,0.0,
P0954,2024-10-24,10,1.0,11.0
P0685,2024-02-21,107,0.0,2.0
P0930,2024-09-04,0,0.0,13.0
P0840,2024-11-22,46,0.0,12.0
P0362,2024-02-15,125,0.0,10.0
P1288,2024-04-25,75,0.0,7.0
P1295,2024-04-15,56,1.0,8.0
P0024,2024-12-12,57,0.0,5.0
P0986,2025-01-02,52,0.0,2.0
P0199,2025-02-17,42,0.0,9.0
P1419,2024-11-08,70,1.0,6.0
P1261,2025-06-22,29,0.0,5.0
P0391,2023-08-14,60,1.0,4.0
P1500,2024-03-21,69,0.0,12.0
P0042,2025-03-25,88,,4.0
P0313,2025-05-04,6,1.0,2.0
P0473,2023-11-04,75,0.0,
P0523,2024-08-08,109,0.0,1.0
P0558,2024-02-14,20,0.0,11.0
P0951,2024-04-17,98,0.0,14.0
P0712,2023-11-25,29,0.0,4.0
P0989,2023-10-09,34,0.0,13.0
P0268,2024-04-22,60,0.0,12.0
P1309,2024-06-21,58,0.0,9.0
P1018,2024-05-14,35,1.0,7.0
P0930,2024-06-27,0,0.0,13.0
P0692,2024-03-31,0,0.0,5.0
P1202,2024-11-05,39,0.0,12.0
P0535,2024-11-15,-69,0.0,7.0
P1237,2024-11-09,76,1.0,8.0
P1105,2024-01-10,39,0.0,5.0
P0559,2025-04-15,9,1.0,13.0
P0216,2025-02-23,40,0.0,6.0
P0564,2025-03-29,54,0.0,12.0
P0592,2024-05-30,66,1.0,3.0
P0325,2024-10-05,27,0.0,12.0
P0057,2025-06-05,24,0.0,5.0
P1439,2024-07-19,40,1.0,10.0
P1264,2025-03-30,47,1.0,9.0
P1399,2023-11-17,41,1.0,6.0
P1209,2024-02-25,49,1.0,11.0
P0362,2024-03-14,59,0.0,11.0
P0948,2023-07-22,37,0.0,1.0
P0444,2023-09-03,83,0.0,13.0
P1301,2025-05-01,88,0.0,14.0
P0656,2025-05-01,0,1.0,14.0
P1402,2024-08-03,18,0.0,9.0
P0136,2023-07-11,113,0.0,6.0
P0539,2024-01-04,90,0.0,12.0
P1449,2025-04-12,37,0.0,10.0
P0709,2024-10-30,77,0.0,2.0
P0606,2023-07-21,41,0.0,8.0
P0153,2024-02-12,34,0.0,9.0
P1002,2025-01-23,73,0.0,
P0457,2024-09-24,21,0.0,1.0
P0514,2023-08-02,10,0.0,2.0
P0948,2024-05-14,20,0.0,3.0
P1195,2023-12-29,26,0.0,13.0
P1037,2024-07-02,53,1.0,7.0
P1417,2025-06-06,0,1.0,2.0
P0728,2023-12-08,108,0.0,5.0
P1391,2025-06-12,42,1.0,11.0
P0120,2025-06-18,51,0.0,7.0
P1015,2023-07-12,56,0.0,14.0
P0386,2024-02-14,0,0.0,11.0
P0570,2025-01-06,33,0.0,12.0
P1378,2024-07-25,14,0.0,2.0
P0195,2024-02-15,113,0.0,10.0
P1466,2024-02-03,20,0.0,3.0
P0694,2024-03-24,26,0.0,1.0
P0068,2023-11-21,95,1.0,10.0
P0547,2024-03-19,16,1.0,9.0
P0690,2023-07-21,32,0.0,3.0
P0303,2024-08-17,47,0.0,2.0
P0035,2024-05-12,42,0.0,3.0
P1202,2024-05-18,18,0.0,4.0
P0935,2024-12-12,78,0.0,13.0
P1177,2024-11-20,49,0.0,10.0
P0795,2024-01-23,42,0.0,2.0
P0059,2025-04-06,61,0.0,12.0
P0981,2023-10-11,71,0.0,14.0
P1106,2024-06-01,-42,0.0,2.0
P1033,2024-07-18,54,1.0,4.0
P1428,2025-06-28,52,1.0,4.0
P1329,2025-01-15,50,0.0,10.0
P1175,2025-03-19,66,0.0,2.0
P0858,2023-11-18,80,0.0,9.0
P0018,2023-08-22,34,0.0,10.0
P0053,2025-01-14,11,1.0,6.0
P1048,2023-11-09,32,0.0,8.0
P0635,2023-12-13,30,0.0,12.0
P1332,2023-11-30,32,0.0,11.0
P0591,2023-09-06,75,0.0,3.0
P0903,2024-01-06,29,1.0,9.0
P0499,2024-02-13,79,1.0,9.0
P1214,2025-02-03,28,1.0,1.0
P0559,2024-12-17,89,0.0,7.0
P1133,2025-05-02,53,0.0,14.0
P1405,2023-12-29,96,1.0,10.0
P0962,2023-08-17,74,1.0,14.0
P0584,2025-05-06,62,0.0,5.0
P1205,2024-12-12,67,0.0,6.0
P0799,2025-01-19,48,0.0,6.0
P0968,2024-06-25,66,0.0,13.0
P0001,2023-12-30,0,0.0,5.0
P0845,2024-12-04,91,0.0,14.0
P0978,2025-05-11,79,0.0,1.0
P1155,2024-12-03,6,0.0,7.0
P1239,2025-01-13,70,1.0,11.0
P0464,2025-03-02,26,0.0,5.0
P0403,2025-01-27,13,0.0,11.0
P1238,2023-10-11,35,0.0,10.0
P1099,2025-02-14,105,0.0,12.0
P1376,2023-10-28,29,0.0,5.0
P0894,2024-01-27,15,0.0,1.0
P0319,2025-06-22,8,0.0,4.0
P1106,2023-11-17,42,0.0,8.0
P1309,2024-10-12,51,0.0,11.0
