order_id,order_date,user_id,sku_id,quantity,price_per_unit,discount_applied,order_channel,payment_method
O000103,2024-12-24,U5299,P1312,2,1680.86,20.0,Web,Card
O000104,2023-08-25,U1623,P0080,2,782.35,20.0,Web,UPI
O000105,2023-09-21,U3691,P1481,1,1414.39,20.0,App,Card
O000106,2024-06-23,U2744,P1291,3,394.55,,Mobile,COD
O000107,2023-12-08,U3684,P0621,5,1009.54,20.0,Mobile,UPI
O000108,2025-05-11,U5951,P0583,1,1360.62,10.0,Mobile,Wallet
O000109,2023-11-05,U4486,P0486,1,594.52,5.0,App,UPI
O000110,2024-02-16,U1855,P1014,1,2081.55,0.0,Mobile,Card
O000111,2023-09-11,U2060,P1211,2,1934.89,20.0,App,COD
O000112,2024-02-19,U3400,P0796,1,748.41,25.0,Mobile,UPI
O000113,2024-03-19,U2424,P1187,3,1254.13,15.0,Mobile,Card
O000114,2024-01-10,U5750,P1396,4,2048.27,0.0,Mobile,Card
O000115,2024-04-20,U1204,P0758,1,610.31,15.0,App,Card
O000116,2024-04-26,U5448,P0099,2,1911.47,20.0,Mobile,Card
O000117,2024-11-15,U2546,P0292,3,2135.04,0.0,Mobile,UPI
O000118,2024-05-17,U4554,P0921,1,1547.78,15.0,App,UPI
O000119,2025-06-30,U4233,P1085,2,,25.0,Web,UPI
O000120,2024-04-04,U1487,P1426,1,1376.03,15.0,Mobile,UPI
O000121,2025-02-19,U4152,P0809,6,1831.27,5.0,App,COD
O000122,2025-03-05,U4693,P0021,1,1538.3,20.0,Web,Card
O000123,2024-02-02,U4628,P1078,3,1900.27,0.0,App,Card
O000124,2023-08-10,U2525,P0839,7,1126.25,15.0,Mobile,Wallet
O000125,2024-11-23,U1521,P1159,3,847.72,,Web,UPI
O000126,2024-12-06,U1666,P0265,2,1004.31,25.0,Mobile,Card
O000127,2025-04-21,U1407,P0934,2,2026.65,0.0,Mobile,Wallet
O000128,2023-12-31,U3221,P0587,3,824.48,15.0,App,Wallet
O000129,2024-01-04,U1311,P0243,3,842.92,30.0,App,Wallet
O000130,2023-10-23,U3674,P1435,1,464.09,40.0,Mobile,Card
O000131,2024-10-11,U1295,P0173,2,623.02,40.0,Web,COD
O000132,2024-01-14,U1563,P0810,4,859.15,20.0,App,Wallet
O000133,2024-01-01,U1647,P0337,1,777.34,20.0,Mobile,COD
O000134,2025-02-08,U2486,P1070,3,801.16,10.0,Web,UPI
O000135,2025-03-13,U3407,P0330,4,486.56,15.0,App,UPI
O000136,2024-10-13,U3108,P0495,3,1391.93,5.0,Web,Wallet
O000137,2025-02-19,U3675,P0103,1,433.47,0.0,Web,COD
O000138,2024-12-15,U1266,P1121,4,1340.12,30.0,Web,Card
O000139,2023-07-12,U5858,P0516,4,397.94,10.0,Web,Wallet
O000140,2024-07-24,U5167,P0216,5,356.59,30.0,Mobile,UPI
O000141,2025-03-23,U4576,P0275,1,931.4,10.0,Mobile,Wallet
O000142,2024-09-11,U3339,P0814,2,862.53,40.0,Mobile,Card
O000143,2024-02-13,U5565,P0368,2,1044.36,15.0,Mobile,Card
O000144,2025-03-21,U2586,P1356,2,660.5,40.0,Web,Card
O000145,2024-07-04,U1059,UNKNOWN,3,1374.94,10.0,Web,UPI
O000146,2024-01-23,U3861,P1245,3,2367.59,5.0,Web,UPI
O000147,2024-05-05,U1211,P1221,2,1264.88,25.0,Mobile,Wallet
O000148,2024-07-18,U3622,P1172,2,1161.93,20.0,App,Card
O000149,2024-08-12,U2467,P0554,1,186.64,40.0,Mobile,COD
O000150,2025-05-25,U1727,P1328,1,1203.16,5.0,App,UPI
O000151,2024-06-02,U3303,P0108,2,2103.33,10.0,Web,Card
O000152,2024-01-25,U3819,P0732,2,,10.0,App,Card
O000153,2023-12-29,U1790,P1482,2,1756.12,15.0,Mobile,UPI
O000154,2025-04-25,U3363,P1134,1,1372.32,0.0,Mobile,UPI
O000155,2025-04-09,U3227,P0438,1,495.14,,Web,Wallet
O000156,2023-11-04,U2461,P0052,1,1179.97,25.0,Web,Wallet
O000157,2023-11-22,U5613,P0234,3,,5.0,Mobile,COD
O000158,2024-05-16,U1041,P1254,1,421.31,25.0,Web,COD
O000159,2024-09-19,U4317,P1248,3,293.03,25.0,App,Card
O000160,2023-10-26,U2602,P1304,4,1097.54,40.0,App,COD
O000161,2025-07-02,U1394,P0030,2,2089.01,10.0,Web,Wallet
O000162,2024-03-16,U3583,P0959,2,,0.0,Web,Wallet
O000163,2025-02-25,U5523,P0403,1,1234.99,40.0,Mobile,COD
O000164,2023-11-29,U1612,P0533,4,1947.66,15.0,App,COD
O000165,2025-02-08,U1481,P1440,3,2167.66,0.0,Web,Wallet
O000166,2025-07-02,U5463,P0422,3,1148.64,15.0,Mobile,COD
O000167,2023-11-11,U3734,P0220,4,387.59,30.0,Mobile,Card
O000168,2024-04-27,U4971,P1106,4,1168.68,20.0,Web,COD
O000169,2024-04-27,U3481,P0459,2,1403.52,15.0,Mobile,COD
O000170,2024-06-03,U3171,P1032,2,629.14,30.0,Web,UPI
O000171,2025-01-20,U1099,P1478,2,953.58,30.0,Mobile,Card
O000172,2024-12-07,U1127,P0010,1,821.88,30.0,Web,Card
O000173,2025-06-02,U5172,P1102,-1,363.94,25.0,App,Card
O000174,2024-01-07,U3102,P1374,1,310.11,20.0,Mobile,COD
O000175,2024-09-27,U1984,P0915,4,1280.62,30.0,Web,Wallet
O000176,2025-01-26,U2620,P1251,1,2136.56,10.0,App,Card
O000177,2024-09-18,U2403,P0345,1,1297.57,30.0,App,Card
O000178,2025-04-08,U4704,P1363,1,1833.32,10.0,Web,Card
O000179,2023-10-13,U1621,P0573,2,295.5,25.0,Mobile,Wallet
O000180,2024-11-23,U5824,P0839,1,685.42,10.0,App,Wallet
O000181,2025-02-04,U1005,P0694,1,763.4,30.0,App,Card
O000182,2025-06-21,U3357,P0822,2,,10.0,Web,COD
O000183,2024-09-30,U5597,P1228,1,792.01,20.0,Web,Card
O000184,2025-02-19,U5920,P1420,1,1181.82,10.0,App,UPI
O000185,2024-02-03,U4061,P0249,3,1611.55,30.0,App,Wallet
O000186,2024-07-26,U1087,P1412,3,360.46,40.0,Web,Wallet
O000187,2025-01-12,U2989,P1474,1,1327.43,20.0,Web,Wallet
O000188,2024-06-02,U4189,P1206,1,1746.23,10.0,Mobile,COD
O000189,2024-03-04,U1300,P0939,2,1144.08,10.0,Web,Wallet
O000190,2023-10-28,U5031,P0216,1,841.96,40.0,Web,UPI
O000191,2025-01-11,U4977,P0936,3,770.65,30.0,App,Card
O000192,2024-02-07,U5310,P0292,4,1428.02,20.0,Web,Card
O000193,2023-11-02,U1435,P0302,1,2129.45,10.0,Web,Card
O000194,2024-10-28,U3116,P0091,1,1745.22,25.0,Web,UPI
O000195,2024-12-28,U2349,P0408,4,1323.18,15.0,Web,Wallet
O000196,2024-01-22,U1887,P0740,3,966.83,30.0,Mobile,COD
O000197,2023-08-10,U3549,P0421,3,1880.36,10.0,Web,Wallet
O000198,2024-02-25,U3298,P1007,1,1915.15,0.0,App,UPI
O000199,2025-06-02,U1505,P0354,1,1265.4,0.0,App,Wallet
O000200,2025-04-02,U3866,P0468,1,713.92,25.0,Web,Wallet
O000201,2024-08-08,U1271,P1308,4,1401.08,30.0,Web,UPI
O000202,2025-05-19,U3445,P0609,3,905.22,30.0,Web,Card
O000203,2024-02-09,U2398,P1399,3,752.06,40.0,Web,UPI
O000204,2024-10-12,U1951,P0350,3,1049.35,20.0,App,Card
O000205,2025-03-14,U3038,P1269,4,1905.37,15.0,App,UPI
O000206,2024-07-11,U3359,P0386,2,1143.46,,Web,Card
O000207,2024-02-07,U5660,P0341,1,331.21,40.0,Mobile,Card
O000208,2024-02-24,U5436,P0079,2,474.97,25.0,App,COD
O000209,2024-10-13,U1528,P0205,3,278.52,25.0,Web,Card
O000210,2023-09-26,U2649,P1073,2,1395.25,0.0,Mobile,UPI
O000211,2024-12-13,U2699,P0711,3,1672.77,0.0,Mobile,Card
O000212,2024-09-20,U3074,P0161,2,1147.48,20.0,App,Card
O000213,2025-01-23,U1310,P1116,2,1264.83,0.0,Web,Wallet
O000214,2023-11-30,U1599,P1050,2,713.81,25.0,Web,Wallet
O000215,2024-02-01,U5421,P1176,7,1421.06,30.0,Mobile,UPI
O000216,2024-08-31,U3241,P1330,1,1009.62,30.0,Web,Card
O000217,2023-09-05,U5000,P0478,3,1502.17,25.0,Mobile,UPI
O000218,2024-03-03,U5284,P0215,1,1115.58,,Mobile,Card
O000219,2023-11-21,U4184,P0569,2,1251.85,40.0,Mobile,Wallet
O000220,2024-01-22,U2825,P0224,2,1347.9,0.0,Web,UPI
O000221,2025-03-01,U1781,P0655,2,426.45,15.0,Mobile,COD
O000222,2023-11-25,U5141,P1155,3,1020.51,25.0,App,Wallet
O000223,2024-11-09,U1253,P0540,3,481.87,40.0,Mobile,COD
O000224,2025-04-02,U3843,P0953,2,1269.66,5.0,App,Card
O000225,2024-11-21,U1621,P1179,2,372.16,30.0,App,Card
O000226,2024-01-05,U4524,P0031,3,1122.37,30.0,Mobile,Card
O000227,2024-05-22,U4240,P0169,1,974.27,20.0,Web,Wallet
O000228,2023-09-14,U3779,P1265,1,532.43,25.0,App,Wallet
O000229,2023-11-21,U1059,P0169,1,402.74,0.0,Web,COD
O000230,2023-11-14,U1818,P0390,2,1804.16,10.0,Mobile,Wallet
O000231,2024-06-19,U2765,P0269,2,1157.59,40.0,Mobile,Card
O000232,2024-03-03,U2449,P0232,4,1477.06,15.0,App,Card
O000233,2025-03-08,U5857,UNKNOWN,4,287.9,10.0,Mobile,Wallet
O000234,2025-03-26,U5846,P0349,2,1174.48,15.0,App,Card
O000235,2024-06-28,U2183,P0507,3,870.81,25.0,App,Card
O000236,2023-12-08,U5854,P1284,4,570.64,25.0,Web,Wallet
O000237,2023-11-03,U1054,P0984,1,1884.99,20.0,App,Card
O000238,2024-09-27,U2530,P0104,2,791.84,25.0,Web,UPI
O000239,2023-08-15,U1366,P0025,3,540.34,5.0,Mobile,Card
O000240,2023-10-10,U3157,P0529,1,1394.41,5.0,App,Card
O000241,2025-04-09,U3141,P0199,2,1243.83,0.0,Web,COD
O000242,2025-07-04,U3218,P1129,1,1033.96,25.0,App,Card
O000243,2023-09-29,U1947,P0151,2,1018.05,25.0,Web,COD
O000244,2024-03-16,U4306,P1315,1,1564.14,15.0,Web,Card
O000245,2024-03-11,U3633,P0353,3,954.83,30.0,Web,UPI
O000246,2025-01-25,U2071,P1326,1,1730.2,30.0,Web,Wallet
O000247,2023-07-17,U2814,P0674,3,882.25,25.0,Mobile,COD
O000248,2024-07-09,U3334,P0456,1,902.21,40.0,Mobile,Wallet
O000249,2024-08-01,U3691,P0619,1,1754.51,10.0,Web,Wallet
O000250,2025-06-21,U3589,P0667,1,1968.25,20.0,Mobile,Card
O000251,2025-02-16,U1363,P1171,2,397.2,15.0,App,Card
O000252,2024-04-15,U2870,P0941,3,1325.57,40.0,Web,Wallet
O000253,2025-05-09,U4595,P0257,1,538.97,30.0,Web,Wallet
O000254,2023-10-18,U5393,P0500,1,1508.02,0.0,Mobile,Card
O000255,2024-10-31,U1864,P0388,1,328.93,40.0,Web,Card
O000256,2024-05-11,U3862,P0795,3,1463.92,15.0,Mobile,COD
O000257,2023-07-31,U2693,P0584,1,1717.14,20.0,Web,Card
O000258,2025-05-06,U1173,P0868,2,711.35,0.0,App,COD
O000259,2023-12-21,U4228,P0637,1,839.35,25.0,Web,Card
O000260,2025-05-29,U3320,P0065,3,1833.09,5.0,Web,UPI
O000261,2025-03-26,U4536,P1198,1,705.24,10.0,App,Wallet
O000262,2024-05-19,U3235,P1363,2,1419.71,10.0,Mobile,UPI
O000263,2024-12-24,U5784,P1042,3,689.14,5.0,App,Card
O000264,2025-01-09,U4191,P1339,3,,10.0,Web,Card
O000265,2024-11-13,U4566,P0467,1,915.78,0.0,Mobile,UPI
O000266,2024-06-09,U5493,P1253,2,1524.73,5.0,Web,Wallet
O000267,2024-02-02,U5481,P0314,1,1354.26,0.0,Mobile,COD
O000268,2025-01-05,U2629,P0106,1,623.64,40.0,Web,COD
O000269,2024-04-26,U4359,P1435,1,2393.43,0.0,App,Card
O000270,2025-05-02,U1677,P0247,1,436.97,15.0,Web,COD
O000271,2024-08-05,U3854,P0100,1,418.4,30.0,App,Wallet
O000272,2023-12-15,U1211,P0875,4,495.4,40.0,App,Card
O000273,2023-11-08,U4859,P1416,1,,,Web,COD
O000274,2024-10-15,U4110,P0905,1,,,Mobile,Card
O000275,2024-08-25,U2660,P1415,1,752.6,40.0,Web,UPI
O000276,2025-03-10,U2118,P0905,1,1562.07,30.0,App,UPI
O000277,2023-11-05,U5517,P1165,3,816.09,30.0,Mobile,Wallet
O000278,2025-01-25,U2925,P1257,2,1976.01,15.0,Web,Wallet
O000279,2024-12-13,U5280,P0431,1,1115.42,10.0,App,Card
O000280,2025-01-30,U1476,P1263,2,645.97,0.0,App,Card
O000281,2023-10-27,U1016,P0659,1,704.18,40.0,App,Card
O000282,2024-01-10,U3622,P0691,1,659.35,30.0,Web,Card
O000283,2025-01-12,U4229,P0955,3,822.74,20.0,Web,COD
O000284,2024-01-16,U1430,P1128,3,351.47,30.0,Web,UPI
O000285,2024-08-13,U2278,P0241,1,609.25,15.0,Web,COD
O000286,2024-11-21,U5126,P0045,2,1835.68,20.0,Web,UPI
O000287,2024-08-23,U5172,P0338,1,421.1,40.0,Web,UPI
O000288,2024-08-01,U4147,P0452,1,538.62,10.0,Web,UPI
O000289,2024-06-02,U4483,P0959,1,793.59,0.0,Mobile,COD
O000290,2024-02-02,U2624,P0290,2,1053.63,15.0,Web,Card
O000291,2023-09-18,U3546,P1105,1,696.53,40.0,Web,UPI
O000292,2024-04-03,U1886,P1275,2,539.19,10.0,Web,UPI
O000293,2023-12-29,U3256,P0945,1,899.18,20.0,Web,UPI
O000294,2023-09-23,U2434,P1024,4,516.86,25.0,Mobile,Wallet
O000295,2025-02-05,U1969,P0273,2,1665.18,20.0,Mobile,UPI
O000296,2024-09-03,U1639,P0905,1,1229.68,5.0,Web,UPI
O000297,2024-10-04,U2681,P0672,-4,661.47,,Web,Card
O000298,2024-02-28,U1107,P0258,1,1854.79,20.0,App,COD
O000299,2025-02-21,U2366,P0607,1,1096.01,40.0,Mobile,Wallet
O000300,2023-11-30,U1901,P0491,1,903.96,20.0,App,UPI
O000301,2024-06-24,U2146,P0293,5,1329.6,15.0,Web,COD
O000302,2025-02-25,U3789,P0135,2,1480.47,5.0,Web,UPI
O000303,2025-02-16,U4394,P0062,1,1215.81,5.0,App,COD
O000304,2024-05-02,U4932,P1476,1,602.09,15.0,App,COD
O000305,2024-05-04,U5269,P0266,2,1105.75,15.0,Web,Card
O000306,2023-10-02,U4151,P0516,4,1907.17,15.0,App,COD
O000307,2024-11-19,U5829,P0728,2,802.72,40.0,Web,Card
O000308,2023-08-13,U4400,P1219,7,,20.0,App,Wallet
O000309,2024-06-03,U3660,P0398,1,1323.47,30.0,App,Wallet
O000310,2024-07-26,U5603,P1037,2,867.1,20.0,Mobile,COD
O000311,2023-09-25,U1963,P1213,2,1796.84,10.0,Mobile,Wallet
O000312,2023-12-07,U3207,P1285,2,1938.17,20.0,Web,Wallet
O000313,2024-06-06,U3337,P0253,1,1827.68,10.0,App,Wallet
O000314,2024-08-31,U3659,P1372,3,1596.26,15.0,App,Card
O000315,2024-10-07,U5262,P1167,1,1217.87,25.0,App,UPI
O000316,2023-08-01,U2398,P1119,1,616.58,5.0,Web,UPI
O000317,2023-10-20,U1018,P0316,2,1338.38,20.0,App,COD
O000318,2024-12-16,U2937,P0099,1,1743.48,5.0,App,COD
O000319,2024-11-26,U1276,P1498,3,1480.22,25.0,Mobile,COD
O000320,2023-11-03,U1441,P1017,1,552.37,25.0,Mobile,UPI
O000321,2024-10-01,U5814,P0420,1,333.91,30.0,App,COD
O000322,2024-02-29,U2960,P0333,1,521.19,15.0,App,COD
O000323,2023-09-07,U5312,P0141,2,759.59,5.0,App,Wallet
O000324,2025-05-15,U4831,P0434,4,437.24,10.0,Web,Wallet
O000325,2025-04-28,U4596,P0885,2,741.97,30.0,App,Card
O000326,2025-05-30,U5335,P1060,3,788.82,30.0,App,UPI
O000327,2023-11-27,U3506,P0609,2,468.82,40.0,Mobile,Card
O000328,2024-05-02,U5431,P0164,2,718.16,15.0,App,Wallet
O000329,2025-03-12,U1959,P1272,1,1282.75,25.0,Web,Wallet
O000330,2024-05-07,U5378,P0096,1,1281.02,25.0,App,Wallet
O000331,2023-09-10,U5805,P1198,3,1690.86,10.0,Web,UPI
O000332,2025-06-19,U5222,P0971,1,,10.0,Web,COD
O000333,2023-11-24,U1492,P0675,1,,,Web,Wallet
O000334,2024-03-05,U1104,P0511,2,336.62,20.0,Web,COD
O000335,2025-05-09,U5381,P0144,1,490.06,40.0,Web,Card
O000336,2023-12-23,U2090,P0586,3,1873.46,20.0,Web,UPI
O000337,2024-03-16,U3134,P0957,-1,404.74,25.0,App,Wallet
O000338,2024-06-27,U4926,P0284,4,990.19,30.0,Mobile,UPI
O000339,2023-08-04,U3017,P0295,1,1769.15,20.0,Web,UPI
O000340,2024-06-24,U3279,P0338,4,300.86,25.0,Web,Card
O000341,2025-04-09,U5691,P0289,1,1407.65,10.0,Mobile,Wallet
O000342,2025-03-18,U2969,P1233,2,1837.48,20.0,Mobile,COD
O000343,2024-02-29,U5538,P0960,1,1145.97,15.0,Mobile,COD
O000344,2025-03-21,U4040,P0460,2,1843.06,20.0,Web,COD
O000345,2025-02-10,U2548,P1298,2,423.66,10.0,Web,Card
O000346,2024-01-30,U5271,P0519,1,602.0,15.0,App,Card
O000347,2024-12-17,U2088,P0540,3,1328.18,40.0,Web,COD
O000348,2025-06-18,U3646,P1448,4,1211.92,25.0,Mobile,Card
O000349,2024-02-18,U1858,P1239,4,1688.63,5.0,Mobile,COD
O000350,2023-11-06,U5269,P0578,3,1033.32,25.0,Mobile,Card
O000351,2024-09-12,U1181,P0460,2,,40.0,App,UPI
O000352,2023-09-04,U1636,P0904,2,2215.12,0.0,Mobile,Wallet
O000353,2023-09-04,U5678,P0902,2,1077.2,10.0,Web,UPI
O000354,2025-06-06,U5290,P0654,2,548.26,20.0,App,Card
O000355,2023-12-20,U5613,P1417,3,383.78,40.0,Web,Wallet
O000356,2025-03-22,U2246,P1184,2,1659.42,0.0,Mobile,Card
O000357,2024-12-09,U2635,P0697,2,896.59,40.0,Mobile,Card
O000358,2023-11-13,U3048,P1024,2,1029.99,15.0,Web,UPI
O000359,2025-02-27,U2708,P1393,4,1522.08,30.0,App,Wallet
O000360,2023-12-17,U4718,P1112,1,1742.92,10.0,Mobile,Wallet
O000361,2025-05-14,U2684,P0553,1,227.51,40.0,Mobile,Wallet
O000362,2024-04-13,U2778,P1019,1,2296.84,5.0,App,Wallet
O000363,2025-06-06,U5794,P1476,2,1080.22,10.0,Mobile,UPI
O000364,2025-03-04,U2112,P0699,2,2120.1,0.0,Web,Wallet
O000365,2025-07-07,U2306,P0612,1,808.12,40.0,Mobile,Wallet
O000366,2023-09-30,U3257,P1260,1,587.21,25.0,Web,COD
O000367,2025-04-10,U1195,P0087,4,281.47,20.0,App,Card
O000368,2024-11-22,U2482,P1438,3,916.35,40.0,App,UPI
O000369,2023-11-08,U4240,P0462,4,307.06,10.0,App,Card
O000370,2024-10-30,U2570,P1024,1,1102.06,40.0,Mobile,COD
O000371,2024-01-25,U1157,P0680,2,1033.57,25.0,App,UPI
O000372,2025-04-08,U1974,P0784,2,675.6,40.0,Mobile,Card
O000373,2023-08-25,U2382,P0766,1,275.09,25.0,App,Wallet
O000374,2023-12-06,U2303,P0079,1,826.54,15.0,App,UPI
O000375,2023-12-02,U3995,P0783,7,1511.54,20.0,App,Wallet
O000376,2025-01-26,U2306,P0814,2,1748.32,5.0,App,COD
O000377,2024-08-06,U5120,P0329,2,752.07,25.0,App,Card
O000378,2025-04-15,U3292,P1345,4,352.69,10.0,Web,Wallet
O000379,2024-11-27,U5250,P0816,1,914.0,20.0,App,Card
O000380,2024-06-07,U1342,P1080,3,2349.89,5.0,App,Card
O000381,2024-07-21,U3117,P0564,-1,1482.13,25.0,Web,COD
