order_id,order_date,user_id,sku_id,category,brand,quantity,price_per_unit,discount_applied,revenue,profit,days_since_launch,viewed_same_day,pricing_error_flag
O000021,2025-05-10,U4611,P0952,Home & Kitchen,BrandD,1,1154.49,15.0,1154.49,668.12,1387.0,0,0
O000022,2024-12-11,U5788,P1246,Sports,BrandD,2,385.58,40.0,771.16,-1098.1799999999998,524.0,0,1
O000023,2025-05-13,U4010,P0093,Home & Kitchen,BrandD,4,1139.75,25.0,4559.0,3343.0,1364.0,0,0
O000024,2024-04-04,U4385,P1344,Home & Kitchen,BrandE,1,1672.9,10.0,1672.9,1382.54,408.0,0,0
O000025,2024-12-12,U3452,P1113,Beauty,BrandF,2,697.79,30.0,1395.58,981.8799999999999,1032.0,0,0
O000026,2024-11-09,U2482,P0841,Apparel,BrandB,2,968.62,15.0,1937.24,1137.18,520.0,0,0
O000027,2023-09-10,U3805,P0754,Apparel,BrandF,1,1326.05,40.0,1326.05,1038.6799999999998,695.0,0,0
O000028,2024-01-30,U2025,P0107,Sports,BrandB,1,1546.71,30.0,1546.71,972.69,-150.0,0,0
O000029,2024-03-02,U4248,P0112,Sports,No Brand,4,292.96,5.0,1171.84,-2058.76,292.0,0,1
O000030,2024-10-18,U5969,P0423,Books,BrandC,1,920.025,5.0,920.025,381.625,211.0,0,0
O000031,2024-06-25,U3637,P0409,Apparel,BrandC,1,994.79,30.0,994.79,69.69999999999993,747.0,0,0
O000032,2024-01-19,U5605,P0885,Home & Kitchen,BrandF,1,352.03,0.0,352.03,-347.03,571.0,0,1
O000033,2024-01-04,U3778,P0340,Books,BrandD,5,1569.24,15.0,7846.2,3511.3999999999996,195.0,0,0
O000034,2023-10-10,U2101,P1461,Electronics,BrandC,1,1740.04,0.0,1740.04,1069.03,308.0,0,0
O000035,2024-03-09,U3041,P0849,Home & Kitchen,BrandD,3,1399.79,25.0,4199.37,2686.68,457.0,0,0
O000036,2024-09-06,U2395,P0352,Sports,BrandF,3,265.27,40.0,795.81,-1715.37,760.0,0,1
O000037,2025-05-28,U1696,P1353,Home & Kitchen,BrandE,3,1325.05,5.0,3975.1499999999996,2630.04,552.0,0,0
O000038,2024-08-14,U2336,P1492,Sports,BrandF,2,1548.08,10.0,3096.16,1713.06,178.0,0,0
O000039,2024-08-08,U5666,P1096,Electronics,BrandC,3,922.16,0.0,2766.48,1204.1999999999998,398.0,0,0
O000040,2024-04-19,U3044,P0358,Sports,BrandA,1,899.84,10.0,899.84,-97.16999999999996,138.0,0,1
O000041,2025-04-16,U1034,P0171,Home & Kitchen,BrandC,2,838.73,20.0,1677.46,-31.579999999999927,108.0,0,1
O000043,2025-03-24,U4971,P0308,Home & Kitchen,BrandA,1,1273.43,10.0,1273.43,791.4300000000001,1457.0,0,0
O000044,2023-12-29,U3341,P0086,Home & Kitchen,BrandF,5,876.77,30.0,4383.85,408.60000000000014,765.0,0,0
O000045,2025-05-18,U1633,P0148,Apparel,No Brand,1,959.97,5.0,959.97,527.29,386.0,0,0
O000046,2025-02-16,U2181,P0024,Home & Kitchen,BrandD,3,1540.68,30.0,4622.04,2503.2000000000003,312.0,0,0
O000047,2024-05-09,U4174,P0383,Home & Kitchen,BrandD,1,497.38,5.0,497.38,-379.91999999999996,559.0,0,1
O000048,2024-08-18,U2936,P0731,Apparel,BrandF,1,788.28,20.0,788.28,535.89,583.0,0,0
O000049,2024-03-30,U4817,P1096,Electronics,BrandC,2,1797.49,5.0,3594.98,2553.46,267.0,0,0
O000050,2025-01-26,U5056,P0761,Sports,BrandC,1,386.16,20.0,386.16,211.39000000000001,447.0,0,0
O000051,2024-10-21,U3620,P1326,Beauty,BrandC,4,1666.09,5.0,6664.36,3199.8399999999997,393.0,0,0
O000052,2024-01-24,U5854,P0024,Home & Kitchen,BrandD,2,1321.09,15.0,2642.18,1229.62,-77.0,0,0
O000053,2024-12-13,U3988,P0534,Electronics,BrandE,1,1351.14,30.0,1351.14,1166.97,636.0,0,0
O000054,2023-08-24,U5510,P0875,Sports,BrandB,2,573.92,10.0,1147.84,-514.72,373.0,0,1
O000055,2025-03-19,U1770,P0028,Books,BrandD,1,1418.14,40.0,1418.14,468.30000000000007,644.0,0,0
O000056,2025-03-11,U4900,P1349,Beauty,BrandB,2,1228.34,20.0,2456.68,1764.04,1201.0,0,0
O000057,2024-04-09,U3837,P0646,Beauty,BrandB,1,1520.12,10.0,1520.12,899.2099999999999,273.0,0,0
O000058,2024-12-08,U4612,P0555,Beauty,BrandA,2,1920.06,20.0,3840.12,2868.48,1288.0,0,0
O000061,2023-12-07,U4826,P0881,Apparel,BrandF,1,1530.65,5.0,1530.65,966.4100000000001,574.0,0,0
O000062,2024-09-26,U4633,P0359,Electronics,BrandA,2,694.47,0.0,1388.94,143.55999999999995,871.0,0,0
O000063,2025-02-16,U5520,P1134,Electronics,No Brand,2,685.18,20.0,1370.36,670.4399999999999,907.0,0,0
O000064,2025-04-10,U3511,P1217,Beauty,BrandE,3,1931.18,15.0,5793.54,3793.32,554.0,0,0
O000065,2023-09-03,U4899,P1356,Electronics,BrandD,1,1636.55,10.0,1636.55,1120.24,781.0,0,0
O000066,2024-03-05,U5066,P1012,Apparel,BrandB,3,1182.35,40.0,3547.0499999999997,2815.2599999999993,1059.0,0,0
O000067,2024-02-25,U5676,P0924,Beauty,BrandB,1,603.91,5.0,603.91,-197.76,-182.0,0,1
O000068,2025-01-15,U2695,P1455,Electronics,BrandE,3,2064.31,5.0,6192.93,4973.7,1375.0,0,0
O000069,2025-05-28,U2440,P0029,Sports,BrandD,5,1969.05,20.0,9845.25,7973.299999999999,260.0,0,0
O000070,2024-03-22,U4978,P1025,Electronics,BrandE,1,1539.45,0.0,1539.45,1108.25,218.0,0,0
O000071,2024-11-24,U5355,P0770,Sports,BrandB,1,2084.82,0.0,2084.82,1122.5200000000002,1157.0,0,0
O000072,2024-04-15,U4186,P0244,Electronics,BrandC,6,614.01,25.0,3684.06,358.55999999999995,892.0,0,0
O000073,2024-09-28,U2406,P0171,Home & Kitchen,BrandC,2,1583.78,30.0,3167.56,1458.52,-92.0,0,0
O000074,2024-12-08,U3649,P0547,Beauty,BrandB,3,686.82,5.0,2060.46,280.05000000000007,6.0,0,0
O000075,2025-06-22,U4741,P0827,Sports,BrandC,2,1585.03,0.0,3170.06,2220.72,758.0,0,0
O000076,2025-01-30,U2942,P1205,Home & Kitchen,BrandF,1,1031.9,20.0,1031.9,929.0400000000001,233.0,0,0
O000077,2024-07-25,U2555,P0208,Apparel,BrandA,2,546.7,10.0,1093.4,717.9000000000001,431.0,0,0
O000078,2024-09-13,U3696,P0396,Beauty,BrandB,1,983.9,0.0,983.9,135.40999999999997,767.0,0,0
O000079,2024-08-27,U1225,P0815,Beauty,BrandB,3,767.89,30.0,2303.67,229.41000000000008,1156.0,0,0
O000080,2024-09-15,U2988,P0901,Books,BrandF,2,476.25,20.0,952.5,275.62,820.0,0,0
O000081,2024-03-26,U5255,P0521,Home & Kitchen,BrandB,2,1436.97,10.0,2873.94,1631.56,284.0,0,0
O000082,2025-02-28,U2209,P1472,Apparel,BrandE,1,1299.17,5.0,1299.17,819.1500000000001,533.0,0,0
O000083,2024-06-04,U3453,P0132,Electronics,BrandE,3,1369.7,15.0,4109.1,1341.78,497.0,0,0
O000084,2024-02-24,U3331,P1233,Apparel,BrandA,4,1754.57,10.0,7018.28,3315.7999999999997,846.0,0,0
O000085,2024-04-13,U3117,P0230,Electronics,BrandC,4,1945.34,20.0,7781.36,7342.599999999999,703.0,0,0
O000086,2023-07-31,U5790,P0848,Electronics,BrandD,3,245.24,25.0,735.72,-999.0899999999999,426.0,0,1
O000087,2025-04-15,U1054,P0640,Electronics,BrandD,3,435.08,15.0,1305.24,-756.5999999999999,1000.0,0,1
O000088,2025-05-10,U5629,P0822,Apparel,BrandF,5,924.94,5.0,4624.700000000001,2086.65,539.0,0,0
O000089,2024-06-24,U2099,P0077,Sports,BrandF,3,621.45,30.0,1864.3500000000001,108.84000000000026,-142.0,0,0
O000090,2023-07-15,U1609,P1240,Home & Kitchen,BrandC,2,1237.11,40.0,2474.22,1665.7599999999998,273.0,0,0
O000091,2024-03-04,U3397,P1265,Books,BrandA,1,1259.66,30.0,1259.66,1038.2,947.0,0,0
O000092,2024-10-17,U4908,P1099,Electronics,BrandD,2,1201.28,15.0,2402.56,1466.94,917.0,0,0
O000093,2024-11-12,U2186,P1188,Sports,BrandB,1,2098.29,15.0,2098.29,1334.1799999999998,304.0,0,0
O000094,2025-02-20,U2138,P1185,Books,BrandC,3,1610.7,30.0,4832.1,4030.9500000000003,720.0,0,0
O000095,2024-06-24,U1123,P0018,Beauty,BrandE,1,1034.26,5.0,1034.26,66.92999999999995,176.0,0,0
O000096,2024-10-22,U3176,P0545,Sports,No Brand,3,596.36,20.0,1789.08,1437.75,1021.0,0,0
O000097,2024-12-23,U5873,P1322,Electronics,BrandE,1,2306.34,0.0,2306.34,1950.94,478.0,0,0
O000098,2024-06-04,U2798,P1283,Beauty,BrandE,2,2105.97,5.0,4211.94,3226.0599999999995,546.0,0,0
O000099,2025-01-18,U5952,P1325,Beauty,BrandC,2,929.24,20.0,1858.48,252.79999999999995,1058.0,0,0
O000100,2023-09-19,U5751,P0851,Electronics,BrandD,1,731.18,20.0,731.18,-134.8900000000001,323.0,0,1
O000101,2023-12-03,U1448,P0652,Sports,BrandC,1,1626.72,15.0,1626.72,1052.7,400.0,0,0
O000102,2023-10-26,U3819,P0434,Apparel,BrandC,5,2268.33,0.0,11341.65,10790.349999999999,878.0,0,0
O000103,2024-12-24,U5299,P1312,Apparel,BrandB,2,1680.86,20.0,3361.72,1996.1,154.0,0,0
O000104,2023-08-25,U1623,P0080,Home & Kitchen,BrandF,2,782.35,20.0,1564.7,1036.56,-488.0,0,0
O000105,2023-09-21,U3691,P1481,Sports,No Brand,1,1414.39,20.0,1414.39,998.2400000000001,-368.0,0,0
O000106,2024-06-23,U2744,P1291,Sports,No Brand,3,394.55,0.0,1183.65,-800.0999999999999,663.0,0,1
O000107,2023-12-08,U3684,P0621,Home & Kitchen,BrandB,5,1009.54,20.0,5047.7,3915.05,394.0,0,0
O000108,2025-05-11,U5951,P0583,Beauty,BrandB,1,1360.62,10.0,1360.62,643.7699999999999,-965.0,0,0
O000109,2023-11-05,U4486,P0486,Electronics,BrandC,1,594.52,5.0,594.52,128.87,693.0,0,0
O000110,2024-02-16,U1855,P1014,Beauty,BrandD,1,2081.55,0.0,2081.55,1498.7000000000003,897.0,0,0
O000111,2023-09-11,U2060,P1211,Sports,BrandC,2,1934.89,20.0,3869.78,2721.7400000000002,843.0,0,0
O000112,2024-02-19,U3400,P0796,Beauty,BrandB,1,748.41,25.0,748.41,-62.32000000000005,734.0,0,1
O000113,2024-03-19,U2424,P1187,Sports,BrandE,3,1254.13,15.0,3762.3900000000003,2040.3300000000004,595.0,0,0
O000114,2024-01-10,U5750,P1396,Electronics,BrandC,4,2048.27,0.0,8193.08,7659.639999999999,966.0,0,0
O000115,2024-04-20,U1204,P0758,Books,BrandE,1,610.31,15.0,610.31,-376.81000000000006,715.0,0,1
O000116,2024-04-26,U5448,P0099,Sports,BrandA,2,1911.47,20.0,3822.94,2153.0,537.0,0,0
O000117,2024-11-15,U2546,P0292,Books,BrandB,3,2135.04,0.0,6405.12,5512.799999999999,164.0,0,0
O000118,2024-05-17,U4554,P0921,Electronics,BrandC,1,1547.78,15.0,1547.78,1040.11,319.0,0,0
O000119,2025-06-30,U4233,P1085,Apparel,BrandA,2,1123.575,25.0,2247.15,1929.3500000000001,1559.0,0,0
O000120,2024-04-04,U1487,P1426,Electronics,No Brand,1,1376.03,15.0,1376.03,1231.47,775.0,0,0
O000121,2025-02-19,U4152,P0809,Apparel,BrandD,6,1831.27,5.0,10987.619999999999,6232.5,967.0,0,0
O000122,2025-03-05,U4693,P0021,Apparel,BrandC,1,1538.3,20.0,1538.3,859.77,693.0,0,0
O000123,2024-02-02,U4628,P1078,Sports,BrandC,3,1900.27,0.0,5700.8099999999995,3890.0399999999995,-259.0,0,0
O000124,2023-08-10,U2525,P0839,Apparel,BrandF,7,1126.25,15.0,7883.75,4324.145,497.0,0,0
O000125,2024-11-23,U1521,P1159,Electronics,BrandD,3,847.72,0.0,2543.16,1708.02,463.0,0,0
O000126,2024-12-06,U1666,P0265,Books,No Brand,2,1004.31,25.0,2008.62,804.31,664.0,0,0
O000127,2025-04-21,U1407,P0934,Electronics,BrandF,2,2026.65,0.0,4053.3,3492.44,1334.0,0,0
O000128,2023-12-31,U3221,P0587,Home & Kitchen,BrandB,3,824.48,15.0,2473.44,909.8399999999999,879.0,0,0
O000129,2024-01-04,U1311,P0243,Electronics,BrandC,3,842.92,30.0,2528.7599999999998,888.9599999999998,-231.0,0,0
O000130,2023-10-23,U3674,P1435,Home & Kitchen,BrandE,1,464.09,40.0,464.09,59.90999999999997,246.0,0,0
O000131,2024-10-11,U1295,P0173,Beauty,BrandB,2,623.02,40.0,1246.04,883.5,10.0,0,0
O000132,2024-01-14,U1563,P0810,Apparel,BrandD,4,859.15,20.0,3436.6,1856.0,332.0,0,0
O000133,2024-01-01,U1647,P0337,Apparel,BrandB,1,777.34,20.0,777.34,326.3,-153.0,0,0
O000134,2025-02-08,U2486,P1070,Electronics,BrandC,3,801.16,10.0,2403.48,2093.58,1148.0,0,0
O000135,2025-03-13,U3407,P0330,Beauty,BrandC,4,486.56,15.0,1946.24,1518.6,558.0,0,0
O000136,2024-10-13,U3108,P0495,Sports,BrandD,3,1391.93,5.0,4175.79,3805.62,1088.0,0,0
O000137,2025-02-19,U3675,P0103,Home & Kitchen,BrandF,1,433.47,0.0,433.47,126.08000000000004,1210.0,0,0
O000138,2024-12-15,U1266,P1121,Beauty,BrandE,4,1340.12,30.0,5360.48,1545.6799999999994,1256.0,0,0
O000139,2023-07-12,U5858,P0516,Apparel,BrandE,4,397.94,10.0,1591.76,-367.0,-237.0,0,1
O000140,2024-07-24,U5167,P0216,Beauty,BrandB,5,356.59,30.0,1782.9499999999998,-2833.4500000000003,1252.0,0,1
O000141,2025-03-23,U4576,P0275,Home & Kitchen,BrandD,1,931.4,10.0,931.4,389.63,472.0,0,0
O000142,2024-09-11,U3339,P0814,Books,BrandC,2,862.53,40.0,1725.06,520.75,450.0,0,0
O000143,2024-02-13,U5565,P0368,Sports,BrandB,2,1044.36,15.0,2088.72,1189.8999999999996,713.0,0,0
O000144,2025-03-21,U2586,P1356,Electronics,BrandD,2,660.5,40.0,1321.0,288.3800000000001,1346.0,0,0
O000145,2024-07-04,U1059,UNKNOWN,,,3,1374.94,10.0,4124.82,,,0,0
O000146,2024-01-23,U3861,P1245,Beauty,BrandD,3,2367.59,5.0,7102.77,4715.34,-117.0,0,0
O000147,2024-05-05,U1211,P1221,Beauty,BrandF,2,1264.88,25.0,2529.76,1207.1000000000001,216.0,0,0
O000148,2024-07-18,U3622,P1172,Electronics,BrandB,2,1161.93,20.0,2323.86,663.3400000000001,477.0,0,0
O000149,2024-08-12,U2467,P0554,Books,BrandE,1,186.64,40.0,186.64,-264.19,574.0,0,1
O000150,2025-05-25,U1727,P1328,Books,BrandC,1,1203.16,5.0,1203.16,970.72,1418.0,0,0
O000151,2024-06-02,U3303,P0108,Sports,BrandF,2,2103.33,10.0,4206.66,3910.8999999999996,9.0,0,0
O000152,2024-01-25,U3819,P0732,Home & Kitchen,BrandC,2,1176.45,10.0,2352.9,839.8400000000001,-209.0,0,0
O000153,2023-12-29,U1790,P1482,Electronics,BrandB,2,1756.12,15.0,3512.24,2768.7999999999997,746.0,0,0
O000154,2025-04-25,U3363,P1134,Electronics,No Brand,1,1372.32,0.0,1372.32,1022.3599999999999,975.0,0,0
O000155,2025-04-09,U3227,P0438,Books,No Brand,1,495.14,0.0,495.14,-501.94000000000005,960.0,0,1
O000156,2023-11-04,U2461,P0052,Apparel,BrandB,1,1179.97,25.0,1179.97,199.11,-347.0,0,0
O000157,2023-11-22,U5613,P0234,Sports,No Brand,3,1264.685,5.0,3794.055,1946.415,733.0,0,0
O000158,2024-05-16,U1041,P1254,Beauty,BrandC,1,421.31,25.0,421.31,-75.27999999999997,50.0,0,1
O000159,2024-09-19,U4317,P1248,Beauty,BrandC,3,293.03,25.0,879.0899999999999,162.53999999999994,734.0,0,0
O000160,2023-10-26,U2602,P1304,Sports,No Brand,4,1097.54,40.0,4390.16,2045.3999999999996,652.0,0,0
O000161,2025-07-02,U1394,P0030,Home & Kitchen,BrandA,2,2089.01,10.0,4178.02,3466.9600000000005,1611.0,0,0
O000162,2024-03-16,U3583,P0959,Apparel,No Brand,2,906.1,0.0,1812.2,828.96,94.0,0,0
O000163,2025-02-25,U5523,P0403,Electronics,BrandF,1,1234.99,40.0,1234.99,297.35,282.0,0,0
O000164,2023-11-29,U1612,P0533,Beauty,BrandC,4,1947.66,15.0,7790.64,6425.64,444.0,0,0
O000165,2025-02-08,U1481,P1440,Home & Kitchen,BrandD,3,2167.66,0.0,6502.98,5708.129999999999,532.0,0,0
O000166,2025-07-02,U5463,P0422,Books,BrandA,3,1148.64,15.0,3445.92,2715.3600000000006,909.0,0,0
O000167,2023-11-11,U3734,P0220,Sports,No Brand,4,387.59,30.0,1550.36,-20.080000000000155,757.0,0,1
O000168,2024-04-27,U4971,P1106,Sports,BrandB,4,1168.68,20.0,4674.72,1663.0400000000004,391.0,0,0
O000169,2024-04-27,U3481,P0459,Home & Kitchen,BrandE,2,1403.52,15.0,2807.04,2218.86,571.0,0,0
O000170,2024-06-03,U3171,P1032,Electronics,BrandB,2,629.14,30.0,1258.28,210.13999999999987,741.0,0,0
O000171,2025-01-20,U1099,P1478,Apparel,BrandB,2,953.58,30.0,1907.16,890.1300000000001,383.0,0,0
O000172,2024-12-07,U1127,P0010,Electronics,BrandF,1,821.88,30.0,821.88,506.03,91.0,0,0
O000174,2024-01-07,U3102,P1374,Home & Kitchen,BrandF,1,310.11,20.0,310.11,40.35000000000002,-74.0,0,0
O000175,2024-09-27,U1984,P0915,Home & Kitchen,BrandD,4,1280.62,30.0,5122.48,4224.4,36.0,0,0
O000176,2025-01-26,U2620,P1251,Electronics,BrandA,1,2136.56,10.0,2136.56,1960.74,1171.0,0,0
O000177,2024-09-18,U2403,P0345,Books,BrandF,1,1297.57,30.0,1297.57,452.6199999999999,1251.0,0,0
O000178,2025-04-08,U4704,P1363,Sports,BrandF,1,1833.32,10.0,1833.32,1323.6799999999998,1260.0,0,0
O000179,2023-10-13,U1621,P0573,Apparel,BrandE,2,295.5,25.0,591.0,-714.3399999999999,17.0,0,1
O000180,2024-11-23,U5824,P0839,Apparel,BrandF,1,685.42,10.0,685.42,176.90499999999997,968.0,0,0
O000181,2025-02-04,U1005,P0694,Electronics,BrandA,1,763.4,30.0,763.4,187.20999999999992,1320.0,0,0
O000182,2025-06-21,U3357,P0822,Apparel,BrandF,2,1107.835,10.0,2215.67,1200.45,581.0,0,0
O000183,2024-09-30,U5597,P1228,Books,BrandA,1,792.01,20.0,792.01,189.85500000000002,1361.0,0,0
O000184,2025-02-19,U5920,P1420,Books,BrandB,1,1181.82,10.0,1181.82,314.2399999999999,1011.0,0,0
O000185,2024-02-03,U4061,P0249,Electronics,BrandD,3,1611.55,30.0,4834.65,3868.7699999999995,989.0,0,0
O000186,2024-07-26,U1087,P1412,Sports,No Brand,3,360.46,40.0,1081.3799999999999,-1356.3,-114.0,0,1
O000187,2025-01-12,U2989,P1474,Apparel,BrandF,1,1327.43,20.0,1327.43,959.3600000000001,1332.0,0,0
O000188,2024-06-02,U4189,P1206,Apparel,BrandA,1,1746.23,10.0,1746.23,890.82,1173.0,0,0
O000189,2024-03-04,U1300,P0939,Sports,BrandC,2,1144.08,10.0,2288.16,1211.1799999999998,1130.0,0,0
O000190,2023-10-28,U5031,P0216,Beauty,BrandB,1,841.96,40.0,841.96,-81.31999999999994,982.0,0,1
O000191,2025-01-11,U4977,P0936,Beauty,BrandF,3,770.65,30.0,2311.95,145.28999999999985,201.0,0,0
O000192,2024-02-07,U5310,P0292,Books,BrandB,4,1428.02,20.0,5712.08,4522.32,-118.0,0,0
O000193,2023-11-02,U1435,P0302,Electronics,BrandA,1,2129.45,10.0,2129.45,1218.7999999999997,209.0,0,0
O000194,2024-10-28,U3116,P0091,Books,BrandD,1,1745.22,25.0,1745.22,1180.63,477.0,0,0
O000195,2024-12-28,U2349,P0408,Beauty,BrandF,4,1323.18,15.0,5292.72,4726.56,1063.0,0,0
O000196,2024-01-22,U1887,P0740,Electronics,BrandF,3,966.83,30.0,2900.4900000000002,1351.5600000000004,144.0,0,0
O000197,2023-08-10,U3549,P0421,Electronics,BrandE,3,1880.36,10.0,5641.08,3754.9199999999996,224.0,0,0
O000198,2024-02-25,U3298,P1007,Beauty,BrandA,1,1915.15,0.0,1915.15,1396.39,319.0,0,0
O000199,2025-06-02,U1505,P0354,Books,No Brand,1,1265.4,0.0,1265.4,663.2450000000001,476.0,0,0
O000200,2025-04-02,U3866,P0468,Home & Kitchen,BrandE,1,713.92,25.0,713.92,-62.48000000000002,1259.0,0,1
O000201,2024-08-08,U1271,P1308,Books,BrandB,4,1401.08,30.0,5604.32,2984.5199999999995,491.0,0,0
O000202,2025-05-19,U3445,P0609,Beauty,BrandF,3,905.22,30.0,2715.66,163.58999999999992,1137.0,0,0
O000203,2024-02-09,U2398,P1399,Electronics,BrandA,3,752.06,40.0,2256.18,842.4899999999998,-266.0,0,0
O000204,2024-10-12,U1951,P0350,Electronics,BrandD,3,1049.35,20.0,3148.0499999999997,1089.2699999999998,964.0,0,0
O000205,2025-03-14,U3038,P1269,Books,BrandE,4,1905.37,15.0,7621.48,5212.86,675.0,0,0
O000206,2024-07-11,U3359,P0386,Electronics,BrandB,2,1143.46,0.0,2286.92,1194.2,763.0,0,0
O000207,2024-02-07,U5660,P0341,Sports,BrandB,1,331.21,40.0,331.21,-294.59999999999997,292.0,0,1
O000208,2024-02-24,U5436,P0079,Sports,BrandD,2,474.97,25.0,949.94,-461.5,561.0,0,1
O000209,2024-10-13,U1528,P0205,Electronics,No Brand,3,278.52,25.0,835.56,-1166.16,1027.0,0,1
O000210,2023-09-26,U2649,P1073,Apparel,BrandF,2,1395.25,0.0,2790.5,1915.3600000000001,-333.0,0,0
O000211,2024-12-13,U2699,P0711,Books,BrandD,3,1672.77,0.0,5018.3099999999995,3027.33,300.0,0,0
O000212,2024-09-20,U3074,P0161,Beauty,No Brand,2,1147.48,20.0,2294.96,917.0,698.0,0,0
O000213,2025-01-23,U1310,P1116,Sports,BrandC,2,1264.83,0.0,2529.66,1381.62,28.0,0,0
O000214,2023-11-30,U1599,P1050,Apparel,BrandC,2,713.81,25.0,1427.62,-442.0200000000002,-311.0,0,1
O000215,2024-02-01,U5421,P1176,Sports,BrandA,7,1421.06,30.0,9947.42,9238.18,450.0,0,0
O000216,2024-08-31,U3241,P1330,Books,BrandB,1,1009.62,30.0,1009.62,208.34000000000003,689.0,0,0
O000217,2023-09-05,U5000,P0478,Home & Kitchen,BrandB,3,1502.17,25.0,4506.51,4102.53,647.0,0,0
O000218,2024-03-03,U5284,P0215,Books,BrandF,1,1115.58,0.0,1115.58,211.2299999999999,1124.0,0,0
O000219,2023-11-21,U4184,P0569,Apparel,BrandD,2,1251.85,40.0,2503.7,1724.6999999999998,-11.0,0,0
O000220,2024-01-22,U2825,P0224,Electronics,BrandF,2,1347.9,0.0,2695.8,1757.3400000000001,171.0,0,0
O000221,2025-03-01,U1781,P0655,Books,BrandA,2,426.45,15.0,852.9,-351.40999999999997,1389.0,0,1
O000222,2023-11-25,U5141,P1155,Books,BrandC,3,1020.51,25.0,3061.5299999999997,2115.36,-293.0,0,0
O000223,2024-11-09,U1253,P0540,Apparel,BrandE,3,481.87,40.0,1445.6100000000001,-661.7400000000001,108.0,0,1
O000224,2025-04-02,U3843,P0953,Beauty,BrandD,2,1269.66,5.0,2539.32,1602.6600000000003,442.0,0,0
O000225,2024-11-21,U1621,P1179,Books,BrandE,2,372.16,30.0,744.32,-459.9899999999999,1302.0,0,1
O000226,2024-01-05,U4524,P0031,Home & Kitchen,BrandE,3,1122.37,30.0,3367.1099999999997,2969.3699999999994,905.0,0,0
O000227,2024-05-22,U4240,P0169,Books,BrandE,1,974.27,20.0,974.27,742.98,-27.0,0,0
O000228,2023-09-14,U3779,P1265,Books,BrandA,1,532.43,25.0,532.43,310.9699999999999,775.0,0,0
O000229,2023-11-21,U1059,P0169,Books,BrandE,1,402.74,0.0,402.74,171.45000000000002,-210.0,0,0
O000230,2023-11-14,U1818,P0390,Home & Kitchen,BrandB,2,1804.16,10.0,3608.32,2487.46,330.0,0,0
O000231,2024-06-19,U2765,P0269,Apparel,BrandE,2,1157.59,40.0,2315.18,725.9999999999998,1138.0,0,0
O000232,2024-03-03,U2449,P0232,Books,BrandE,4,1477.06,15.0,5908.24,3129.8399999999997,899.0,0,0
O000233,2025-03-08,U5857,UNKNOWN,,,4,287.9,10.0,1151.6,,,0,0
O000234,2025-03-26,U5846,P0349,Home & Kitchen,BrandE,2,1174.48,15.0,2348.96,351.78,1288.0,0,0
O000235,2024-06-28,U2183,P0507,Beauty,BrandB,3,870.81,25.0,2612.43,599.4299999999998,610.0,0,0
