return_id,user_id,sku_id,return_date,return_reason,product_condition,refund_amount
R00048,U1910,P1486,2024-09-08,Damaged item,Used,2099.69
R00049,U1970,P1442,2024-11-14,Poor quality,New,2211.23
R00050,U2194,P1106,2024-12-01,Poor quality,Opened,250.67
R00051,U3535,P1047,2024-07-28,Poor quality,Defective,0.0
R00052,U2737,P1036,2024-12-28,Better price elsewhere,Defective,378.71
R00053,U2847,P0370,2024-08-30,Missing parts,Opened,2447.64
R00054,U1631,P0511,2024-12-05,Wrong product,Opened,0.0
R00055,U1402,P0914,2025-02-13,Poor quality,New,2241.48
R00056,U3360,P0165,2025-01-09,Poor quality,Used,358.53
R00057,U3152,P1187,2025-05-27,Poor quality,Defective,1539.23
R00058,U5305,P0010,2025-03-10,Poor quality,Opened,2425.84
R00059,U4258,P1139,2025-02-28,No longer needed,Defective,1799.56
R00060,U2251,P0821,2025-07-04,Missing parts,Used,1331.79
R00061,U2175,P1473,2025-01-22,No longer needed,New,243.81
R00062,U1044,P0219,2024-10-19,Better price elsewhere,Opened,1620.86
R00063,U5774,P0592,2025-01-12,Damaged item,New,1276.17
R00064,U2508,P0246,2024-11-19,Better price elsewhere,New,1100.53
R00065,U1376,P0697,2024-11-09,Missing parts,Defective,381.4
R00066,U1590,P1204,2025-05-09,Missing parts,Used,683.49
R00067,U1795,P1086,2025-02-07,Better price elsewhere,Defective,714.27
R00068,U4242,P0275,2024-07-31,Damaged item,Opened,131.27
R00069,U3274,P1441,2025-03-04,Missing parts,New,592.0
R00070,U2441,P1059,2024-12-03,Damaged item,Used,1155.6
R00071,U4143,P1470,2025-03-26,Missing parts,Used,1160.99
R00072,U3470,P0272,2025-04-22,Wrong product,New,700.51
R00073,U5256,P0064,2024-08-18,Missing parts,Used,1197.03
R00074,U5921,P0157,2025-06-22,Wrong product,Opened,274.55
R00075,UNKNOWN_USER,P0183,2024-07-26,Poor quality,Defective,144.03
R00076,U3669,P1222,2025-04-29,Poor quality,Defective,350.14
R00077,U3046,P0225,2024-08-13,Better price elsewhere,New,939.7
R00078,U4494,P0175,2025-03-26,Damaged item,Opened,485.95
R00079,U1744,P1245,2025-05-01,Wrong product,Opened,1146.33
R00080,U1131,P0653,2025-02-23,No longer needed,Used,1297.79
R00081,U3761,P0092,2024-07-19,No longer needed,Used,1651.83
R00082,U3627,P0391,2025-05-09,Damaged item,New,405.82
R00083,U1606,P1270,2025-04-09,No longer needed,Defective,1766.06
R00084,U4956,P0558,2025-04-15,Damaged item,Defective,2351.95
R00085,U5536,P1349,2025-05-22,Poor quality,New,105.34
R00086,U1790,P0623,2025-02-09,Damaged item,Opened,1648.48
R00087,U4766,P0601,2024-11-03,Better price elsewhere,Defective,1197.57
R00088,U1109,P0392,2024-11-09,Missing parts,Opened,2344.81
R00089,U5446,P0189,2025-03-14,Missing parts,New,1444.53
R00090,U5999,P0093,2024-11-25,No longer needed,Opened,1503.55
R00091,U5677,P0296,2025-04-17,Missing parts,Opened,1715.26
R00092,U4690,P0250,2024-11-20,Better price elsewhere,Opened,562.19
R00093,U3070,P1066,2025-04-30,Poor quality,Opened,505.41
R00094,U2760,P0974,2025-01-26,Damaged item,Defective,1851.48
R00095,U3343,P0713,2025-02-18,Damaged item,Opened,1965.27
R00096,U5053,P0994,2025-05-17,No longer needed,Defective,506.6
R00097,U1744,P0051,2025-06-12,Damaged item,Used,1519.39
R00098,U3999,P0556,2025-05-13,No longer needed,Opened,1758.46
R00099,U4445,P0059,2024-09-16,Damaged item,Defective,1387.34
R00100,U3050,P1487,2024-11-24,Poor quality,Used,1291.43
R00101,U4574,P1206,2025-01-14,No longer needed,Opened,323.97
R00102,U2965,P0672,2024-08-02,Damaged item,New,1114.61
R00103,U3983,P0595,2025-05-18,Poor quality,Defective,1391.98
R00104,U5273,P1251,2025-06-26,No longer needed,Defective,657.23
R00105,U5923,P1226,2024-11-27,Poor quality,Defective,369.29
R00106,U4877,P1033,2024-07-09,No longer needed,Opened,656.23
R00107,U1785,P0514,2024-08-21,No longer needed,Opened,596.73
R00108,U1155,P0502,2024-12-13,No longer needed,Opened,1799.94
R00109,U4719,P0411,2025-03-15,No longer needed,New,1738.07
R00110,U1001,P0231,2025-05-30,No longer needed,New,911.67
R00111,U1886,P1363,2025-01-14,Poor quality,Opened,959.14
R00112,U4438,P0508,2024-09-17,Damaged item,Used,1277.68
R00113,U5225,P1125,2025-07-01,Poor quality,Defective,2392.01
R00114,U2937,P1403,2024-10-13,Poor quality,New,1439.74
R00115,U3989,P1301,2025-04-14,Better price elsewhere,Used,1675.24
R00116,U4051,P1304,2024-10-18,Better price elsewhere,New,0.0
R00117,U2040,P0121,2025-05-01,Poor quality,New,1680.8
R00118,U4784,P0889,2024-10-24,Wrong product,Defective,2100.28
R00119,U1113,P0985,2024-09-27,Better price elsewhere,Used,1460.03
R00120,U4630,P0229,2025-06-22,Wrong product,New,2450.49
R00121,U5833,P1049,2025-05-12,Poor quality,New,1940.67
R00122,U3219,P0483,2025-07-02,Damaged item,Opened,395.53
R00123,U1532,P0085,2025-01-25,Damaged item,Defective,1544.94
R00124,U5384,P0451,2025-01-01,Poor quality,Opened,2284.49
R00125,U3289,P1232,2025-04-04,No longer needed,Opened,462.63
R00126,U2165,P0744,2025-05-22,Damaged item,Used,2297.41
R00127,U1539,P0309,2025-05-27,Damaged item,Defective,1625.75
R00128,U5410,P0432,2025-01-01,Wrong product,New,1782.35
R00129,U3390,P0194,2025-06-15,Better price elsewhere,New,2045.26
R00130,U5479,P0115,2025-03-28,Poor quality,Used,477.15
R00131,U5061,P0295,2025-05-08,Wrong product,Opened,313.96
R00132,U3819,P0730,2025-04-06,No longer needed,Used,2495.06
R00133,U2288,P0119,2024-08-06,Wrong product,Defective,2204.55
R00134,U3267,P0484,2025-05-16,Wrong product,Used,2086.56
R00135,U5634,P0254,2025-06-28,Better price elsewhere,Used,2354.78
R00136,U3591,P1000,2025-01-09,Wrong product,New,2313.96
R00137,U2725,P1457,2024-11-04,No longer needed,New,2153.02
R00138,U2299,P0122,2025-02-02,Damaged item,Used,1144.54
R00139,U4074,P0650,2024-09-15,Better price elsewhere,Defective,1185.6
R00140,U4491,P0069,2025-06-29,Damaged item,Used,896.69
R00141,U5592,P0521,2025-06-11,Missing parts,Defective,412.18
R00142,U4648,P1371,2025-05-23,Missing parts,Opened,2477.99
R00143,U4856,P0638,2024-12-31,Wrong product,Used,354.76
R00144,UNKNOWN_USER,P0656,2024-12-20,Missing parts,Used,1691.13
R00145,U5853,P1090,2024-12-27,Poor quality,Defective,2429.2
R00146,U3131,P0711,2025-01-06,Wrong product,New,1640.69
R00147,U3539,P1301,2024-07-29,Wrong product,Used,1681.84
R00148,U4458,P1395,2024-08-19,Wrong product,Defective,1477.5
R00149,U4065,P0072,2024-11-20,Missing parts,Opened,882.22
R00150,U2567,P0083,2025-05-21,Poor quality,New,2098.38
R00151,U5040,P0249,2025-04-22,Better price elsewhere,Used,501.46
R00152,U2752,P1323,2025-06-06,Poor quality,New,342.77
R00153,U5537,P0637,2024-11-21,Poor quality,Used,1419.97
R00154,U3249,P0428,2025-04-11,Poor quality,Opened,301.32
R00155,U4214,P0132,2024-10-23,Missing parts,Defective,1772.89
R00156,U1356,P0022,2025-04-09,Wrong product,Opened,2415.46
R00157,U5527,P1125,2025-04-08,Missing parts,Opened,1511.91
R00158,U5425,P0120,2024-07-31,Missing parts,Defective,1310.67
R00159,U5424,P1417,2024-11-25,Better price elsewhere,Opened,1947.72
R00160,U1261,P0280,2024-12-19,Wrong product,Defective,1078.54
R00161,U4521,P0753,2024-08-09,Damaged item,Defective,1941.61
R00162,U5558,P1382,2024-09-19,Wrong product,Defective,1912.55
R00163,U2196,P0989,2025-04-02,No longer needed,Used,1640.77
R00164,U4761,P1463,2024-11-25,No longer needed,New,1678.03
R00165,U5060,P0966,2025-02-22,Damaged item,Opened,1354.03
R00166,U1783,P1208,2024-10-15,Better price elsewhere,New,2270.34
R00167,U2703,P0268,2024-08-19,No longer needed,Opened,1622.07
R00168,U3245,P0421,2025-02-04,No longer needed,Opened,1922.13
R00169,U3830,P1218,2024-08-21,Damaged item,Opened,1002.45
R00170,U1214,P1031,2025-04-02,Damaged item,Used,1288.19
R00171,U5661,P1100,2024-12-31,No longer needed,Used,2233.12
R00172,U5238,P0094,2025-03-23,Missing parts,New,0.0
R00173,U4106,P1101,2025-04-13,Damaged item,New,1619.11
R00174,U3639,P1226,2024-12-31,Better price elsewhere,New,275.42
R00175,U2426,P0271,2025-06-17,No longer needed,Defective,1311.65
R00176,U3476,P0687,2025-03-25,Damaged item,Defective,2338.99
R00177,U5113,P0060,2024-08-28,Missing parts,New,1346.07
R00178,U1734,P0679,2025-01-24,Wrong product,Defective,783.16
R00179,U4882,P0817,2025-06-11,Better price elsewhere,Used,1508.62
R00180,U2938,P0300,2024-11-15,Damaged item,Used,803.19
R00181,U2319,P0265,2025-01-30,Better price elsewhere,New,1262.36
R00182,U3833,P0774,2025-04-05,No longer needed,Opened,1781.38
R00183,U3290,P0149,2025-06-29,Better price elsewhere,Used,793.39
R00184,U4511,P1103,2025-06-07,Poor quality,Opened,367.51
R00185,U1080,P0534,2025-01-06,No longer needed,New,825.19
R00186,U3373,P1454,2025-06-21,Missing parts,Defective,1208.24
R00187,U4368,P0828,2025-07-03,Wrong product,Used,2497.43
R00188,U1291,P1109,2025-05-12,Missing parts,New,174.5
R00189,U1074,P1192,2025-02-05,Damaged item,Defective,756.3
R00190,U2835,P0110,2025-02-21,Better price elsewhere,Defective,0.0
R00191,U4736,P0747,2025-03-06,Damaged item,Defective,2342.7
R00192,U3029,P1132,2024-07-31,Better price elsewhere,Opened,1281.7
R00193,U5225,P0152,2024-09-28,Wrong product,Defective,1860.59
R00194,U3300,P0776,2025-03-07,No longer needed,New,1933.67
R00195,U4125,P1473,2024-11-17,Damaged item,Used,1918.73
R00196,U4677,P0966,2025-02-22,Damaged item,New,1389.32
R00197,U3553,P0428,2025-06-18,Damaged item,New,2422.9
R00198,U3615,P0419,2024-10-26,Wrong product,Opened,2148.76
R00199,U5167,P1456,2024-09-01,Missing parts,Opened,515.08
R00200,U2527,P0036,2025-03-06,Better price elsewhere,New,934.89
R00201,U3719,P0681,2024-08-18,Better price elsewhere,Defective,1153.17
R00202,U2110,P0980,2025-02-28,Wrong product,New,764.28
R00203,U2865,P1242,2025-06-18,Damaged item,Opened,2022.78
R00204,U5781,P0723,2025-04-24,Wrong product,Used,790.01
R00205,U4667,P1348,2025-06-18,Better price elsewhere,New,718.04
R00206,U3234,P1137,2024-08-01,Wrong product,New,1556.5
R00207,U2214,P0700,2024-10-21,No longer needed,Defective,830.76
R00208,U2347,P1026,2025-05-18,Missing parts,Used,153.43
R00209,U1035,P0263,2025-02-04,No longer needed,Used,2445.09
R00210,U4141,P0658,2024-09-16,No longer needed,Opened,1898.47
R00211,U4563,P0553,2025-01-17,Better price elsewhere,Opened,219.14
R00212,U5983,P0811,2024-11-05,Wrong product,Opened,1557.73
R00213,U5588,P0670,2024-07-12,Damaged item,Defective,2347.92
R00214,U3711,P0149,2025-05-26,Damaged item,Defective,2213.8
R00215,U1822,P0273,2024-08-12,No longer needed,Opened,1554.97
R00216,U1213,P0525,2024-08-01,Poor quality,Used,333.18
R00217,U5791,P0169,2025-05-23,No longer needed,Opened,2266.39
R00218,U3158,P0779,2025-02-01,Damaged item,New,1280.34
R00219,U3282,P1108,2024-11-28,No longer needed,Defective,841.13
R00220,U2800,P1301,2024-12-21,No longer needed,Defective,1010.39
R00221,U5747,P0284,2025-06-12,Poor quality,Used,1066.73
R00222,U4968,P0169,2024-07-30,Poor quality,Opened,1988.31
R00223,U2958,P1038,2025-06-19,Missing parts,Defective,1643.13
R00224,U5542,P1231,2025-05-23,Better price elsewhere,Defective,2427.32
R00225,U1209,P0437,2024-11-07,Missing parts,Used,289.52
R00226,U5075,P0597,2025-02-27,Better price elsewhere,New,1615.67
R00227,U3125,P0180,2025-03-03,Poor quality,Defective,1925.03
R00228,U4972,P1360,2024-10-02,Poor quality,Used,1995.9
R00229,U3806,P0305,2024-10-21,Better price elsewhere,New,2370.09
R00230,U5464,P0395,2025-04-20,Missing parts,Defective,2038.42
R00231,U5071,P0410,2025-04-04,No longer needed,New,1291.15
R00232,U3250,P0498,2025-03-21,Missing parts,New,932.26
R00233,U2284,P1225,2024-10-09,Damaged item,Defective,1223.59
R00234,U4517,P1439,2024-12-29,Wrong product,Opened,2413.96
R00235,U5720,P0885,2025-03-24,Poor quality,Opened,1584.85
R00236,U5717,P0398,2024-09-18,Damaged item,New,116.42
R00237,U1502,P1241,2025-01-28,Wrong product,Used,240.04
R00238,U5720,P1007,2025-03-19,No longer needed,Used,2301.35
R00239,U2431,P0583,2024-11-23,Unknown,New,896.37
R00240,U3599,P1072,2025-02-06,Poor quality,Defective,852.07
R00241,U1206,P0204,2025-03-25,No longer needed,Used,189.04
R00242,U4430,P1193,2025-05-01,No longer needed,New,2064.06
R00243,U4370,P0953,2025-03-15,No longer needed,Opened,1183.59
R00244,U1465,P0091,2024-11-15,No longer needed,Used,1336.83
R00245,U4330,P0808,2024-12-31,Damaged item,Used,346.26
R00246,U1385,P1178,2024-07-14,Missing parts,New,1046.44
R00247,U5756,P1393,2024-10-06,Better price elsewhere,Opened,2057.84
R00248,U4589,P1219,2024-09-11,Damaged item,Defective,1635.95
R00249,U4990,P0328,2024-08-28,Better price elsewhere,New,1433.72
R00250,U1542,P0738,2025-03-14,Missing parts,Defective,555.41
R00251,U2857,P1472,2025-04-01,Better price elsewhere,New,1371.94
R00252,U3779,P0900,2024-08-26,Missing parts,Opened,1552.94
R00253,U1697,P0423,2025-07-06,Missing parts,New,2402.27
R00254,U2435,P1269,2024-09-21,Wrong product,Opened,2107.32
R00255,U4242,P0542,2024-09-23,Damaged item,Defective,1861.37
R00256,U1287,P0753,2025-01-18,Missing parts,Opened,2475.03
R00257,U1482,P1180,2024-09-07,Missing parts,Used,659.19
R00258,U2149,P0405,2025-07-04,No longer needed,New,427.13
R00259,U4001,P0435,2025-05-19,Wrong product,New,2142.95
R00260,U5947,P0892,2025-05-01,Missing parts,Defective,806.76
R00261,U2527,P0889,2024-08-09,Damaged item,Opened,1356.03
R00262,U3999,P1052,2024-12-03,Better price elsewhere,Opened,2323.52
R00263,U3981,P0425,2025-05-05,Better price elsewhere,Defective,2446.36
R00264,U3885,P0937,2025-05-04,No longer needed,Opened,1778.8
R00265,U1464,P0048,2024-12-29,Wrong product,Used,2419.69
R00266,U4371,P0178,2024-09-03,Poor quality,Defective,785.42
R00267,U1301,P0693,2024-11-24,Missing parts,New,466.4
R00268,U1761,P0008,2025-05-18,Wrong product,Defective,732.54
R00269,U1890,P0414,2025-03-29,Wrong product,Used,138.61
R00270,U2252,P1248,2024-09-11,Better price elsewhere,New,1608.11
R00271,U4342,P0646,2024-07-17,Wrong product,Opened,376.63
R00272,U3032,P0775,2024-11-22,Poor quality,Opened,672.46
R00273,U4269,P0654,2025-06-18,Poor quality,New,1851.93
R00274,U5060,P0876,2025-02-18,No longer needed,Defective,1100.19
R00275,U1637,P0969,2025-01-24,Better price elsewhere,Used,234.78
R00276,U3450,P0202,2024-11-25,Missing parts,Used,733.9
R00277,U1967,P1116,2024-07-11,Better price elsewhere,Used,0.0
R00278,U5673,P1424,2025-06-09,Better price elsewhere,Opened,207.94
R00279,U2294,P0829,2025-05-29,Damaged item,Defective,165.11
R00280,U2239,P0348,2025-03-17,No longer needed,Used,1088.02
R00281,U2254,P0480,2025-02-06,No longer needed,New,2137.86
R00282,U5437,P0357,2025-05-02,Damaged item,Opened,162.92
R00283,U3018,P1038,2024-12-27,Poor quality,New,1830.4
R00284,U2280,P0108,2025-04-13,Better price elsewhere,Opened,939.52
R00285,U3420,P0840,2025-03-06,Wrong product,New,286.53
R00286,U5285,P1209,2024-12-02,No longer needed,Opened,951.65
R00287,U1087,P0278,2025-02-01,No longer needed,Used,1651.44
R00288,U4997,P0852,2024-10-07,Better price elsewhere,Defective,475.04
R00289,U2627,P0702,2025-03-20,No longer needed,New,1872.71
R00290,U4833,P0376,2025-03-24,No longer needed,Opened,569.09
R00291,U1370,P0526,2025-03-28,Damaged item,Defective,1050.2
R00292,U1904,P0527,2025-04-06,Wrong product,Used,1986.09
R00293,U5084,P1488,2025-04-25,Wrong product,Opened,577.16
R00294,U1634,P1447,2025-03-04,Better price elsewhere,Opened,1964.62
R00295,U4561,P1452,2024-07-27,Wrong product,Used,462.31
R00296,U1014,P1189,2025-05-23,Better price elsewhere,Defective,2349.76
R00297,U4541,P0139,2024-10-04,Wrong product,New,430.54
R00298,U2137,P0471,2024-11-04,Damaged item,Opened,1467.95
R00299,U1512,P0377,2025-03-21,Poor quality,Used,103.04
R00300,U2645,P1237,2025-07-05,Better price elsewhere,New,1982.67
R00301,U4133,P0771,2025-03-07,Better price elsewhere,Opened,150.23
R00302,U3415,P0908,2025-06-21,Wrong product,New,287.71
R00303,U2220,P0340,2025-04-07,Missing parts,Opened,1543.13
R00304,U4819,P0272,2024-07-10,Better price elsewhere,Opened,1502.19
R00305,U3232,P1340,2024-11-18,No longer needed,Used,2101.41
R00306,U3746,P1266,2024-10-08,Missing parts,New,1301.5
R00307,U3407,P1285,2024-11-07,Better price elsewhere,Defective,2113.58
R00308,U4837,P0633,2024-12-13,Wrong product,New,1581.13
R00309,U5176,P0976,2025-05-09,Damaged item,Opened,1594.73
R00310,U5946,P1016,2025-04-16,Wrong product,Used,1234.4
R00311,U5771,P0509,2024-08-12,Poor quality,New,1972.12
R00312,U5593,P0669,2024-08-17,Missing parts,Defective,1998.27
R00313,U1650,P1131,2024-07-24,Damaged item,Opened,1909.91
R00314,U3408,P0109,2025-05-23,Missing parts,New,2111.36
R00315,U1817,P1244,2024-11-22,Wrong product,Defective,2076.38
R00316,U1302,P0917,2024-10-22,Better price elsewhere,New,1342.08
R00317,U2880,P0532,2025-01-15,No longer needed,Used,403.01
R00318,U3139,P0788,2025-01-18,Poor quality,New,189.16
R00319,U4608,P0666,2025-05-02,No longer needed,Used,2114.88
R00320,U5432,P1202,2024-07-19,Damaged item,Defective,1699.92
R00321,U2254,P0871,2024-11-02,Poor quality,Used,2332.1
R00322,U3515,P1417,2024-10-25,Missing parts,Defective,1167.21
R00323,U2421,P1187,2025-01-11,Poor quality,Defective,1334.56
R00324,U3257,P1362,2025-02-25,No longer needed,Defective,2497.4
R00325,U5537,P0251,2024-09-07,Missing parts,Opened,2447.17
R00326,U3212,P0684,2025-02-03,Wrong product,New,2046.77
R00327,U5523,P0738,2025-03-04,No longer needed,Opened,1122.42
R00328,U5495,P0257,2024-07-27,Wrong product,Used,870.65
R00329,U1938,P1203,2024-11-17,Better price elsewhere,Defective,738.13
R00330,U2462,P0082,2024-10-22,Poor quality,Used,1987.12
R00331,U1444,P0190,2024-08-03,No longer needed,Defective,109.48
R00332,U1080,P0978,2024-08-20,Better price elsewhere,New,1230.27
R00333,U5541,P1004,2024-07-08,Better price elsewhere,New,839.62
R00334,U4472,P1219,2024-08-18,Missing parts,Defective,104.56
R00335,U5144,P1069,2025-02-08,Better price elsewhere,Opened,616.01
R00336,U5012,P1273,2025-02-26,Poor quality,Used,1518.77
R00337,U1071,P0821,2024-12-06,Better price elsewhere,Defective,1210.8
R00338,U5086,P0622,2025-06-24,Wrong product,Used,1798.19
R00339,U1905,P0795,2024-11-20,Wrong product,Used,165.67
R00340,U3615,P0157,2025-06-27,Wrong product,New,233.8
R00341,U5143,P0205,2024-08-10,Missing parts,Opened,1519.54
R00342,U2497,P1264,2025-02-27,Poor quality,Defective,1215.04
R00343,U5823,P1390,2025-01-19,No longer needed,Defective,1133.1
R00344,U3765,P0432,2025-03-21,Missing parts,Defective,554.5
R00345,U2089,P0229,2024-10-03,Better price elsewhere,Opened,1312.17
R00346,U3992,P1492,2025-03-14,Poor quality,Used,1216.43
R00347,U4515,P1151,2024-12-26,Missing parts,Defective,0.0
R00348,U1939,P1324,2025-04-28,Wrong product,Used,810.48
R00349,U4237,P1213,2025-01-06,Poor quality,New,1675.17
R00350,U3759,P0004,2025-07-05,Poor quality,Defective,1022.25
R00351,U2204,P0463,2024-11-23,No longer needed,Opened,749.47
R00352,U3250,P1373,2025-03-07,No longer needed,Opened,762.41
R00353,U1775,P1298,2025-01-11,Poor quality,Defective,2417.39
R00354,U3475,P0331,2024-07-30,Better price elsewhere,Defective,2107.46
R00355,U4558,P0845,2024-12-19,Missing parts,Used,393.6
R00356,U2265,P1265,2025-04-10,Wrong product,Used,2378.96
R00357,U5029,P1042,2024-10-27,Poor quality,Used,2454.79
R00358,U3051,P0648,2025-06-05,No longer needed,Defective,458.15
R00359,U5159,P1444,2025-01-16,Missing parts,Opened,1878.77
R00360,U2767,P1491,2024-10-20,Poor quality,Used,1187.08
R00361,U2447,P1416,2024-08-12,Wrong product,Used,1478.57
R00362,U1772,P1252,2025-01-26,Poor quality,Used,1931.93
R00363,U5598,P0361,2024-11-16,Wrong product,New,1830.36
R00364,U2136,P0941,2024-07-30,Wrong product,New,1649.84
R00365,U3781,P1248,2024-10-10,Poor quality,Defective,680.61
R00366,U4043,P0273,2025-03-05,No longer needed,Opened,1431.77
R00367,U1199,P0677,2024-08-16,Better price elsewhere,Used,1831.12
R00368,U4025,P0875,2024-10-09,Better price elsewhere,Opened,1576.71
R00369,U3624,P0952,2025-06-29,Damaged item,Opened,846.49
R00370,U2586,P0193,2025-02-01,Missing parts,Defective,421.53
R00371,U5346,P1193,2025-02-01,No longer needed,New,250.73
R00372,U2798,P0430,2024-08-01,No longer needed,Defective,1166.32
R00373,U2322,P0598,2025-06-28,Damaged item,Defective,1147.98
R00374,U4845,P0853,2025-03-20,Better price elsewhere,Used,749.35
R00375,U5031,P0847,2025-05-04,Better price elsewhere,New,666.78
R00376,U5754,P0820,2025-01-22,Poor quality,Opened,279.9
R00378,U4252,P1088,2025-03-08,Missing parts,New,108.93
R00379,U3405,P1485,2025-06-23,Better price elsewhere,Opened,1080.51
R00380,U4594,P1002,2024-11-03,No longer needed,Defective,2011.64
R00381,U4204,P0077,2025-01-15,Missing parts,Opened,1390.56
R00382,U1545,P1127,2025-01-08,Missing parts,Defective,1359.35
R00383,U2427,P1224,2025-03-30,Damaged item,Defective,830.93
R00384,U4151,P0420,2024-12-05,Poor quality,New,2198.02
R00385,U3110,P0376,2024-11-29,No longer needed,Used,1188.8
R00386,U5046,P1333,2024-07-21,Better price elsewhere,Used,413.09
R00387,U5307,P0065,2024-10-26,No longer needed,New,202.21
R00388,U3670,P0390,2025-04-03,Better price elsewhere,Opened,2464.45
R00389,U4804,P0013,2024-07-17,Poor quality,Defective,162.64
R00390,U3570,P1497,2024-12-23,Damaged item,Defective,291.96
R00391,U2983,P1206,2025-04-20,No longer needed,New,2468.3
R00392,U1497,P1213,2025-06-12,No longer needed,Defective,265.45
R00393,U1677,P0527,2025-04-12,Damaged item,Used,1689.37
R00394,U3447,P0672,2024-08-08,No longer needed,Defective,1795.35
R00395,U2125,P0423,2024-12-21,Better price elsewhere,Opened,1816.0
R00396,U3712,P0216,2024-07-09,No longer needed,Opened,663.73
R00397,U2089,P0866,2025-06-14,Poor quality,Defective,1385.05
R00398,U1294,P0774,2024-09-07,Damaged item,New,1522.47
R00399,U2188,P0857,2025-03-19,Poor quality,Used,2255.64
R00400,U3242,P0887,2024-10-02,Wrong product,Opened,1488.92
R00401,U5583,P1386,2024-08-03,Better price elsewhere,Opened,777.11
R00402,U4419,P0744,2024-09-04,Wrong product,Used,1457.61
R00403,U4813,P1439,2024-09-08,No longer needed,Opened,1594.11
R00404,U1869,P1118,2024-12-19,Poor quality,Defective,2087.94
R00405,U3983,P0330,2025-01-14,Wrong product,Used,419.63
R00406,U2046,P0760,2024-09-07,No longer needed,Defective,1622.1
R00407,U5730,P1025,2025-02-20,Damaged item,Opened,1654.22
R00408,U3267,P1258,2025-04-10,Missing parts,Defective,330.54
R00409,U2644,P0522,2025-06-18,Missing parts,Defective,737.43
R00410,U1181,P1012,2024-12-15,No longer needed,Used,1682.04
R00411,U1185,P1449,2024-07-14,No longer needed,Defective,642.58
R00412,U3567,P0442,2024-07-23,Missing parts,Defective,1082.68
R00413,U1149,P0251,2025-06-01,Better price elsewhere,Defective,1578.55
R00414,U3916,P0795,2025-01-01,Wrong product,Defective,1951.67
R00415,U1653,P1183,2024-10-19,Damaged item,Opened,598.38
R00416,U2444,P1119,2024-09-23,Wrong product,Defective,1065.82
R00417,U1702,P1037,2024-09-20,Missing parts,Used,143.82
R00418,U4262,P0730,2024-07-20,No longer needed,Defective,2031.19
